AssetId,EquipmentModelKey,SerialNumber,IdentifierValue,HomeOffice,Lifecycle,Status,CurrentLocation,Custodian,CurrentProject,ParentAsset,LastCalDate,NextCalDue,RetirementReason,Notes,PhoneNumber,StaticIp,MigrationSource
DL-BE-30007,Instantel|Minimate Plus|DataLogger,BE30007,,Ottawa,Active,Deployed,152 Grist Mill Lane,,09000034,,2025-06-15,2026-06-15,,,,,SYNTHETIC seed=englobe-ams-007 profile=demo
DST-5001,"N/A (service, not a manufactured unit)|SIM Card|CellularService",,8999905607490551630,Ottawa,Active,Available,Ottawa,,,,,,,,343-555-0189,203.0.113.188,SYNTHETIC seed=englobe-ams-007 profile=demo
DL-BE-30008,Instantel|Minimate Plus|DataLogger,BE30008,,Toronto,Active,CheckedOut,,matteo.nwosu@englobecorp.com,,,2024-04-15,2025-04-15,,,,,SYNTHETIC seed=englobe-ams-007 profile=demo
DL-BE-30009,Instantel|Minimate Plus|DataLogger,BE30009,,Ottawa,Active,Deployed,2064 Millrace Avenue,,09000214,,2025-10-07,2026-10-07,,,,,SYNTHETIC seed=englobe-ams-007 profile=demo
GEO-BG-30003,Instantel|Series III|Geophone,BG30003,,Ottawa,Retired,Retired,,,,,2007-08-17,2008-08-17,Obsolete,,,,SYNTHETIC seed=englobe-ams-007 profile=demo
GEO-BG-30004,Instantel|Series III|Geophone,BG30004,,Ottawa,Retired,Retired,,,,,2019-12-27,2020-12-27,Sold,,,,SYNTHETIC seed=englobe-ams-007 profile=demo
DST-5002,"N/A (service, not a manufactured unit)|SIM Card|CellularService",,8999954371645046653,Toronto,Retired,Retired,,,,,,,Obsolete,,416-555-0124,,SYNTHETIC seed=englobe-ams-007 profile=demo
GEO-BG-30005,Instantel|Series III|Geophone,BG30005,,Ottawa,Retired,Retired,,,,,2010-05-04,2011-05-04,Lost,,,,SYNTHETIC seed=englobe-ams-007 profile=demo
TLT-850000,Slope Indicator|VWP|VWReadout,850000,,Ottawa,Retired,Retired,,,,,2020-11-19,2022-11-19,Damaged,,,,SYNTHETIC seed=englobe-ams-007 profile=demo
GEO-BG-30006,Instantel|Series III|Geophone,BG30006,,Toronto,Active,Deployed,4025 Humberline Court,,09000010,DL-BE-30016,2025-10-20,2026-10-20,,,,,SYNTHETIC seed=englobe-ams-007 profile=demo
DL-BE-30010,Instantel|Minimate Plus|DataLogger,BE30010,,Toronto,Active,Deployed,3120 Lawrence Heights Road,,09000040,,2025-06-11,2026-06-11,,,,,SYNTHETIC seed=englobe-ams-007 profile=demo
DL-BE-30011,Instantel|Minimate Plus|DataLogger,BE30011,,Toronto,Active,Deployed,2247 Lawrence Heights Road,,09000017,,2025-01-28,2026-01-28,,,,,SYNTHETIC seed=englobe-ams-007 profile=demo
GEO-BG-30007,Instantel|Series III|Geophone,BG30007,,Toronto,Active,Deployed,4303 Birchmount Terrace,,09000236,DL-BE-30000,2024-12-17,2025-12-17,,,,,SYNTHETIC seed=englobe-ams-007 profile=demo
DL-BE-30012,Instantel|Minimate Plus|DataLogger,BE30012,,Toronto,Retired,Retired,,,,,2022-10-04,2023-10-04,Damaged,,,,SYNTHETIC seed=englobe-ams-007 profile=demo
DL-BE-30013,Instantel|Minimate|DataLogger,BE30013,,Sudbury,Active,Deployed,1901 Nickel Belt Road,,09000257,,2024-01-10,2025-01-10,,,,,SYNTHETIC seed=englobe-ams-007 profile=demo
DST-5003,"N/A (service, not a manufactured unit)|SIM Card|CellularService",,8999974263228351830,Ottawa,Retired,Retired,,,,,,,Obsolete,,343-555-0194,,SYNTHETIC seed=englobe-ams-007 profile=demo
GEO-BG-30008,Instantel|Series III|Geophone,BG30008,,Toronto,Retired,Retired,,,,,2011-05-30,2012-05-30,Damaged,,,,SYNTHETIC seed=englobe-ams-007 profile=demo
DL-BE-30014,Instantel|Minimate Plus|DataLogger,BE30014,,Sudbury,Retired,Retired,,,,,2014-03-10,2015-03-10,Damaged,,,,SYNTHETIC seed=englobe-ams-007 profile=demo
DL-BE-30015,Instantel|Minimate Plus|DataLogger,BE30015,,Sudbury,Active,Deployed,2722 Greyrock Mine Road,,09000201,,2021-07-30,2022-07-30,,,,,SYNTHETIC seed=englobe-ams-007 profile=demo
DL-BE-30016,Instantel|Minimate Plus|DataLogger,BE30016,,Toronto,Active,Deployed,4025 Humberline Court,,09000010,,2025-10-23,2026-10-23,,,,,SYNTHETIC seed=englobe-ams-007 profile=demo
DL-BE-30017,Instantel|Minimate Plus|DataLogger,BE30017,,Sudbury,Active,Deployed,1734 Kelly Lake Line,,09000126,,2026-06-08,2027-06-08,,,,,SYNTHETIC seed=englobe-ams-007 profile=demo
DL-BE-30018,Instantel|Minimate Plus|DataLogger,BE30018,,Ottawa,Active,Deployed,1605 Ironwood Crescent,,09000069,,2024-12-19,2025-12-19,,,,,SYNTHETIC seed=englobe-ams-007 profile=demo
GEO-BG-30009,Instantel|Series III|Geophone,BG30009,,Toronto,Active,CheckedOut,,matteo.nwosu@englobecorp.com,,,2024-04-15,2025-04-15,,,,,SYNTHETIC seed=englobe-ams-007 profile=demo
DL-BE-30019,Instantel|Minimate Plus|DataLogger,BE30019,,Toronto,Active,Deployed,4804 Danforth Ridge Road,,09000084,,2024-11-19,2025-11-19,,,,,SYNTHETIC seed=englobe-ams-007 profile=demo
DL-BE-30020,Instantel|Minimate Plus|DataLogger,BE30020,,Sudbury,Active,Deployed,268 Kelly Lake Line,,09000225,,2025-04-17,2026-04-17,,,,,SYNTHETIC seed=englobe-ams-007 profile=demo
DL-BE-30021,Instantel|Minimate|DataLogger,BE30021,,Ottawa,Active,Deployed,2949 Grist Mill Lane,,09000069,,2026-07-07,2027-07-07,,,,,SYNTHETIC seed=englobe-ams-007 profile=demo
DL-BE-30022,Instantel|Minimate Plus|DataLogger,BE30022,,Ottawa,Retired,Retired,,,,,2022-05-30,2023-05-30,Damaged,,,,SYNTHETIC seed=englobe-ams-007 profile=demo
GEO-BG-30010,Instantel|Series III|Geophone,BG30010,,Toronto,Active,Available,Toronto,,,,2026-01-30,2027-01-30,,,,,SYNTHETIC seed=englobe-ams-007 profile=demo
DL-BE-30023,Instantel|Minimate Plus|DataLogger,BE30023,,Sudbury,Active,Deployed,4291 Shaft Road,,09000126,,2025-04-04,2026-04-04,,,,,SYNTHETIC seed=englobe-ams-007 profile=demo
DST-5004,"N/A (service, not a manufactured unit)|SIM Card|CellularService",,8999996357825944411,Sudbury,Active,Available,Sudbury,,,,,,,,249-555-0177,192.0.2.149,SYNTHETIC seed=englobe-ams-007 profile=demo
DL-BE-30024,Instantel|Minimate Plus|DataLogger,BE30024,,Toronto,Active,Deployed,717 Humberline Court,,09000038,,2026-04-29,2027-04-29,,,,,SYNTHETIC seed=englobe-ams-007 profile=demo
GEO-BG-30011,Instantel|Series III|Geophone,BG30011,,Sudbury,Retired,Retired,,,,,2016-04-18,2017-04-18,Damaged,,,,SYNTHETIC seed=englobe-ams-007 profile=demo
GEO-BG-30012,Instantel|Series III|Geophone,BG30012,,Ottawa,Retired,Retired,,,,,2012-08-10,2013-08-10,Lost,,,,SYNTHETIC seed=englobe-ams-007 profile=demo
DL-BE-30025,Instantel|Minimate Plus|DataLogger,BE30025,,Toronto,Retired,Retired,,,,,2019-11-04,2020-11-04,Lost,Owned by Harrowgate Developments; on loan to Englobe for the duration of their project.,,,SYNTHETIC seed=englobe-ams-007 profile=demo
DL-BE-30026,Instantel|Minimate Plus|DataLogger,BE30026,,Ottawa,Retired,Retired,,,,,2022-04-25,2023-04-25,Damaged,,,,SYNTHETIC seed=englobe-ams-007 profile=demo
DL-BE-30027,Instantel|Minimate Plus|DataLogger,BE30027,,Toronto,Active,Deployed,1502 Queensway Ridge,,09000040,,2026-01-06,2027-01-06,,,,,SYNTHETIC seed=englobe-ams-007 profile=demo
DL-BE-30028,Instantel|Minimate Plus|DataLogger,BE30028,,Ottawa,Active,Deployed,3630 Tamarack Line,,09000129,,2023-11-17,2024-11-17,,,,,SYNTHETIC seed=englobe-ams-007 profile=demo
DL-BE-30029,Instantel|Minimate Plus|DataLogger,BE30029,,Ottawa,Retired,Retired,,,,,2014-06-04,2015-06-04,Damaged,,,,SYNTHETIC seed=englobe-ams-007 profile=demo
GEO-BG-30013,Instantel|Series III|Geophone,BG30013,,Sudbury,Active,Available,Sudbury,,,,2026-08-13,2027-08-13,,,,,SYNTHETIC seed=englobe-ams-007 profile=demo
GEO-BG-30014,Instantel|Series III|Geophone,BG30014,,Sudbury,Retired,Retired,,,,,2015-05-29,2016-05-29,Damaged,,,,SYNTHETIC seed=englobe-ams-007 profile=demo
DL-BE-30030,Instantel|Minimate Plus|DataLogger,BE30030,,Toronto,Retired,Retired,,,,,2021-06-03,2022-06-03,Damaged,,,,SYNTHETIC seed=englobe-ams-007 profile=demo
GEO-BG-30015,Instantel|Series III|Geophone,BG30015,,Toronto,Retired,Retired,,,,,2015-02-26,2016-02-26,Damaged,,,,SYNTHETIC seed=englobe-ams-007 profile=demo
DST-5005,"N/A (service, not a manufactured unit)|SIM Card|CellularService",,8999957419586909319,Ottawa,Active,Available,Ottawa,,,,,,,,343-555-0146,192.0.2.229,SYNTHETIC seed=englobe-ams-007 profile=demo
DL-BE-30031,Instantel|Minimate Plus|DataLogger,BE30031,,Ottawa,Retired,Retired,,,,,2019-04-19,2019-07-01,Obsolete,,,,SYNTHETIC seed=englobe-ams-007 profile=demo
GEO-BG-30016,Instantel|Series III|Geophone,BG30016,,Sudbury,Retired,Retired,,,,,2020-11-16,2021-11-16,Damaged,,,,SYNTHETIC seed=englobe-ams-007 profile=demo
GEO-SE-30000,Instantel|Series IV|Geophone,SE30000,,Ottawa,Active,Available,Ottawa,,,,2026-07-20,2027-07-20,,,,,SYNTHETIC seed=englobe-ams-007 profile=demo
DST-5006,"N/A (service, not a manufactured unit)|SIM Card|CellularService",,8999922320013111986,Toronto,Retired,Retired,,,,,,,Obsolete,,647-555-0157,203.0.113.5,SYNTHETIC seed=englobe-ams-007 profile=demo
GEO-BG-30017,Instantel|Series III|Geophone,BG30017,,Ottawa,Active,Deployed,152 Grist Mill Lane,,09000034,DL-BE-30007,2025-06-17,2026-06-17,,,,,SYNTHETIC seed=englobe-ams-007 profile=demo
DL-BE-30032,Instantel|Minimate Plus|DataLogger,BE30032,,Ottawa,Retired,Retired,,,,,2022-01-24,2023-01-24,Damaged,,,,SYNTHETIC seed=englobe-ams-007 profile=demo
GEO-BG-30018,Instantel|Series III|Geophone,BG30018,,Sudbury,Active,Deployed,1734 Kelly Lake Line,,09000126,DL-BE-30017,2026-06-10,2027-06-10,,,,,SYNTHETIC seed=englobe-ams-007 profile=demo
GEO-BG-30019,Instantel|Series III|Geophone,BG30019,,Toronto,Retired,Retired,,,,,2020-01-31,2021-01-31,Lost,,,,SYNTHETIC seed=englobe-ams-007 profile=demo
DL-BE-30033,Instantel|Minimate Plus|DataLogger,BE30033,,Toronto,Active,Deployed,3242 Lawrence Heights Road,,09000038,,2025-06-23,2026-06-23,,,,,SYNTHETIC seed=englobe-ams-007 profile=demo
GEO-BG-30020,Instantel|Series III|Geophone,BG30020,,Ottawa,Active,InCalibration,Montreal Calibration,,,,2025-10-10,2026-10-10,,,,,SYNTHETIC seed=englobe-ams-007 profile=demo
DL-BE-30034,Instantel|Minimate Plus|DataLogger,BE30034,,SWO,Active,Deployed,3712 Bluewater Road,,09000248,,2026-03-04,2027-03-04,,,,,SYNTHETIC seed=englobe-ams-007 profile=demo
DL-BE-30035,Instantel|Minimate Plus|DataLogger,BE30035,,Ottawa,Active,Deployed,2064 Millrace Avenue,,09000214,,2024-08-22,2025-08-22,,,,,SYNTHETIC seed=englobe-ams-007 profile=demo
DL-BE-30036,Instantel|Minimate Plus|DataLogger,BE30036,,SWO,Active,Deployed,1796 Erie Shore Drive,,09000205,,2025-09-04,2026-09-04,,,,,SYNTHETIC seed=englobe-ams-007 profile=demo
GEO-BG-30021,Instantel|Series III|Geophone,BG30021,,Ottawa,Active,Deployed,1605 Ironwood Crescent,,09000069,DL-BE-30018,2024-07-29,2025-07-29,,,,,SYNTHETIC seed=englobe-ams-007 profile=demo
GEO-BG-30022,Instantel|Series III|Geophone,BG30022,,Sudbury,Retired,Retired,,,,,2020-07-14,2021-07-14,Damaged,,,,SYNTHETIC seed=englobe-ams-007 profile=demo
DL-BE-30037,Instantel|Minimate Plus|DataLogger,BE30037,,Toronto,Active,Deployed,2285 Portlands Way,,09000217,,2025-01-11,2026-01-11,,,,,SYNTHETIC seed=englobe-ams-007 profile=demo
DL-BE-30038,Instantel|Minimate Plus|DataLogger,BE30038,,Ottawa,Active,Deployed,846 Millrace Avenue,,09000224,,2025-09-23,2026-09-23,,,,,SYNTHETIC seed=englobe-ams-007 profile=demo
DL-BE-30039,Instantel|Minimate Plus|DataLogger,BE30039,,Toronto,Active,Deployed,2218 Harbourview Lane,,09000236,,2026-03-31,2027-03-31,,,,,SYNTHETIC seed=englobe-ams-007 profile=demo
DL-BE-30040,Instantel|Minimate Plus|DataLogger,BE30040,,SWO,Retired,Retired,,,,,2014-01-14,2015-01-14,Damaged,,,,SYNTHETIC seed=englobe-ams-007 profile=demo
GEO-BG-30023,Instantel|Series III|Geophone,BG30023,,Sudbury,Retired,Retired,,,,,2021-03-29,2022-03-29,Obsolete,,,,SYNTHETIC seed=englobe-ams-007 profile=demo
DST-5007,"N/A (service, not a manufactured unit)|SIM Card|CellularService",,8999961083749466650,Sudbury,Retired,Retired,,,,,,,Obsolete,,705-555-0105,198.51.100.157,SYNTHETIC seed=englobe-ams-007 profile=demo
DL-BE-30041,Instantel|Minimate Plus|DataLogger,BE30041,,Sudbury,Active,Deployed,4652 Shaft Road,,09000253,,2026-05-25,2027-05-25,,,,,SYNTHETIC seed=englobe-ams-007 profile=demo
DL-BE-30042,Instantel|Minimate Plus|DataLogger,BE30042,,Ottawa,Active,Deployed,4141 Ashgrove Terrace,,09000129,,2024-09-05,2025-09-05,,,,,SYNTHETIC seed=englobe-ams-007 profile=demo
DL-BE-30043,Instantel|Minimate Plus|DataLogger,BE30043,,SWO,Retired,Retired,,,,,2026-04-27,2027-04-27,Obsolete,,,,SYNTHETIC seed=englobe-ams-007 profile=demo
DST-5008,"N/A (service, not a manufactured unit)|SIM Card|CellularService",,8999935964119797407,Toronto,Retired,Retired,,,,,,,Obsolete,,416-555-0134,203.0.113.124,SYNTHETIC seed=englobe-ams-007 profile=demo
DL-BE-30044,Instantel|Minimate Plus|DataLogger,BE30044,,Ottawa,Active,Deployed,2563 Ashgrove Terrace,,09000252,,2026-04-27,2027-04-27,,,,,SYNTHETIC seed=englobe-ams-007 profile=demo
DL-BE-30045,Instantel|Minimate Plus|DataLogger,BE30045,,Ottawa,Retired,Retired,,,,,2021-03-22,2022-03-22,Damaged,,,,SYNTHETIC seed=englobe-ams-007 profile=demo
GEO-BG-30024,Instantel|Series III|Geophone,BG30024,,SWO,Active,Available,SWO,solveig.adeyemi@englobecorp.com,,,2026-03-01,2027-03-01,,,,,SYNTHETIC seed=englobe-ams-007 profile=demo
DL-BE-30046,Instantel|Minimate Plus|DataLogger,BE30046,,Toronto,Active,Deployed,3744 Willowdale Crescent,,09000099,,2026-01-05,2027-01-05,,,,,SYNTHETIC seed=englobe-ams-007 profile=demo
DST-5009,"N/A (service, not a manufactured unit)|SIM Card|CellularService",,8999989008904836676,SWO,Retired,Retired,,,,,,,Damaged,,519-555-0141,198.51.100.238,SYNTHETIC seed=englobe-ams-007 profile=demo
DL-BE-30047,Instantel|Minimate Plus|DataLogger,BE30047,,Sudbury,Retired,Retired,,,,,2017-10-30,2018-10-30,Obsolete,,,,SYNTHETIC seed=englobe-ams-007 profile=demo
GEO-BG-30025,Instantel|Series III|Geophone,BG30025,,Toronto,Active,Available,Toronto,,,,2026-04-14,2027-04-14,,,,,SYNTHETIC seed=englobe-ams-007 profile=demo
DL-UM-40000,Instantel|Micromate|DataLogger,UM40000,,Toronto,Active,Deployed,4384 Wexford Drive,,09000259,,2019-01-28,2020-01-28,,,,,SYNTHETIC seed=englobe-ams-007 profile=demo
GEO-UM-40000,Instantel|Micromate|Geophone,UM40000,,Toronto,Active,Deployed,4384 Wexford Drive,,09000259,DL-UM-40000,2019-01-07,2020-01-07,,,,,SYNTHETIC seed=englobe-ams-007 profile=demo
DL-BE-30048,Instantel|Minimate Plus|DataLogger,BE30048,,Toronto,Active,Deployed,2285 Portlands Way,,09000217,,2025-08-18,2026-08-18,,,,,SYNTHETIC seed=englobe-ams-007 profile=demo
DST-5010,"N/A (service, not a manufactured unit)|SIM Card|CellularService",,8999958167170996072,Sudbury,Active,Available,Sudbury,,,,,,,,249-555-0102,,SYNTHETIC seed=englobe-ams-007 profile=demo
DL-BE-30049,Instantel|Minimate Plus|DataLogger,BE30049,,Sudbury,Active,InCalibration,Montreal Calibration,,,,2023-03-06,2024-03-06,,,,,SYNTHETIC seed=englobe-ams-007 profile=demo
GEO-BG-30026,Instantel|Series III|Geophone,BG30026,,SWO,Active,CheckedOut,,solveig.adeyemi@englobecorp.com,,,2026-02-27,2027-02-27,,,,,SYNTHETIC seed=englobe-ams-007 profile=demo
DL-BE-30050,Instantel|Minimate Plus|DataLogger,BE30050,,Toronto,Retired,Retired,,,,,2024-08-06,2025-08-06,Obsolete,,,,SYNTHETIC seed=englobe-ams-007 profile=demo
DL-BE-30051,Instantel|Minimate Plus|DataLogger,BE30051,,London,Active,Deployed,644 Conestoga Parkway Extension,,09000247,,2023-03-28,2024-03-28,,,,,SYNTHETIC seed=englobe-ams-007 profile=demo
DL-BE-30052,Instantel|Minimate Plus|DataLogger,BE30052,,SWO,Retired,Retired,,,,,2014-02-03,2015-02-03,Damaged,,,,SYNTHETIC seed=englobe-ams-007 profile=demo
GEO-BG-30027,Instantel|Series III|Geophone,BG30027,,Sudbury,Active,Deployed,4291 Shaft Road,,09000126,DL-BE-30023,2024-11-21,2025-11-21,,,,,SYNTHETIC seed=englobe-ams-007 profile=demo
DL-BE-30053,Instantel|Minimate Plus|DataLogger,BE30053,,Sudbury,Active,Deployed,3569 Nickel Belt Road,,09000242,,2026-06-01,2027-06-01,,,,,SYNTHETIC seed=englobe-ams-007 profile=demo
DL-BE-30054,Instantel|Minimate Plus|DataLogger,BE30054,,Ottawa,Active,Deployed,3065 Old Quarry Road,,09000034,,2025-11-25,2026-11-25,,,,,SYNTHETIC seed=englobe-ams-007 profile=demo
GEO-BG-30028,Instantel|Series III|Geophone,BG30028,,Ottawa,Retired,Retired,,,,,2021-03-11,2022-03-11,Obsolete,,,,SYNTHETIC seed=englobe-ams-007 profile=demo
GEO-BG-30029,Instantel|Series III|Geophone,BG30029,,Sudbury,Active,Deployed,4652 Shaft Road,,09000253,DL-BE-30041,2019-03-16,2020-03-16,,,,,SYNTHETIC seed=englobe-ams-007 profile=demo
DL-BE-30055,Instantel|Minimate Plus|DataLogger,BE30055,,Sudbury,Active,Deployed,2398 Nickel Belt Road,,09000245,,2025-07-07,2026-07-07,,,,,SYNTHETIC seed=englobe-ams-007 profile=demo
DL-BE-30056,Instantel|Minimate Plus|DataLogger,BE30056,,Sudbury,Active,Deployed,3431 Portal Avenue,,09000201,,2025-04-08,2026-04-08,,,,,SYNTHETIC seed=englobe-ams-007 profile=demo
GEO-BG-30030,Instantel|Series III|Geophone,BG30030,,SWO,Active,Deployed,1796 Erie Shore Drive,,09000205,DL-BE-30036,2026-05-26,2027-05-26,,,,,SYNTHETIC seed=englobe-ams-007 profile=demo
GEO-BG-30031,Instantel|Series III|Geophone,BG30031,,Sudbury,Active,Deployed,1901 Nickel Belt Road,,09000257,DL-BE-30013,2026-08-10,2027-08-10,,,,,SYNTHETIC seed=englobe-ams-007 profile=demo
DL-BE-30057,Instantel|Minimate Plus|DataLogger,BE30057,,London,Active,NeedsRepair,1382 Oxford Mill Lane,,09000255,,2026-04-21,2027-04-21,,,,,SYNTHETIC seed=englobe-ams-007 profile=demo
DL-BE-30058,Instantel|Minimate Plus|DataLogger,BE30058,,Sudbury,Active,CheckedOut,,finlay.achterberg@englobecorp.com,,,2026-01-08,2027-01-08,,,,,SYNTHETIC seed=englobe-ams-007 profile=demo
DL-BE-30059,Instantel|Minimate Plus|DataLogger,BE30059,,Ottawa,Retired,Retired,,,,,2025-01-15,2026-01-15,Obsolete,,,,SYNTHETIC seed=englobe-ams-007 profile=demo
GEO-BG-30032,Instantel|Series III|Geophone,BG30032,,London,Retired,Retired,,,,,2023-03-28,2024-03-28,Lost,,,,SYNTHETIC seed=englobe-ams-007 profile=demo
DL-BE-30060,Instantel|Minimate Plus|DataLogger,BE30060,,Sudbury,Active,Deployed,342 Nickel Belt Road,,09000126,,2025-10-28,2026-10-28,,,,,SYNTHETIC seed=englobe-ams-007 profile=demo
DL-BE-30061,Instantel|Minimate Plus|DataLogger,BE30061,,Toronto,Active,Deployed,1434 Harbourview Lane,,09000251,,2026-07-27,2027-07-27,,,,,SYNTHETIC seed=englobe-ams-007 profile=demo
DST-5011,"N/A (service, not a manufactured unit)|SIM Card|CellularService",,8999916806917482331,Toronto,Active,Available,Toronto,,,,,,,,647-555-0167,,SYNTHETIC seed=englobe-ams-007 profile=demo
SLM-LD-5000000,Larson Davis|831C|SoundLevelMeter,5000000,,Toronto,Active,CheckedOut,,fatima.nascimento@englobecorp.com,09000099,,2026-02-24,2027-02-24,,,,,SYNTHETIC seed=englobe-ams-007 profile=demo
SLM-LD-PA-5000,Larson Davis|831C Pre-Amp|Microphone,5000,,Toronto,Active,CheckedOut,,fatima.nascimento@englobecorp.com,09000099,SLM-LD-5000000,2026-02-24,2027-02-24,,,,,SYNTHETIC seed=englobe-ams-007 profile=demo
SLM-LD-EL-700000,Larson Davis|831C Element|Microphone,700000,,Toronto,Active,CheckedOut,,fatima.nascimento@englobecorp.com,09000099,SLM-LD-5000000,2026-02-24,2027-02-24,,,,,SYNTHETIC seed=englobe-ams-007 profile=demo
GEO-BG-30033,Instantel|Series III|Geophone,BG30033,,SWO,Active,Deployed,1796 Erie Shore Drive,,09000205,DL-BE-30036,2026-05-20,2027-05-20,,,,,SYNTHETIC seed=englobe-ams-007 profile=demo
DST-5012,"N/A (service, not a manufactured unit)|SIM Card|CellularService",,8999917827674547644,Sudbury,Active,Available,Sudbury,,,,,,,,249-555-0146,192.0.2.206,SYNTHETIC seed=englobe-ams-007 profile=demo
GEO-SE-30001,Instantel|Series IV|Geophone,SE30001,,Toronto,Active,Available,Toronto,,,,2026-05-18,2027-05-18,,,,,SYNTHETIC seed=englobe-ams-007 profile=demo
SLM-UA-40000,Instantel|Micromate|Microphone,UA40000,,SWO,Retired,Retired,,,,,2022-05-23,2023-05-23,Damaged,,,,SYNTHETIC seed=englobe-ams-007 profile=demo
DL-UM-40001,Instantel|Micromate|DataLogger,UM40001,,Sudbury,Active,Deployed,4553 Long Lake Ridge,,09000185,,2026-06-05,2027-06-05,,,,,SYNTHETIC seed=englobe-ams-007 profile=demo
GEO-UM-40001,Instantel|Micromate|Geophone,UM40001,,Sudbury,Retired,Retired,,,,,2025-01-13,2026-01-13,Sold,,,,SYNTHETIC seed=englobe-ams-007 profile=demo
DL-UM-40002,Instantel|Micromate|DataLogger,UM40002,,Ottawa,Active,Deployed,3296 Bellamy Ridge Road,,09000224,,2025-05-05,2026-05-05,,,,,SYNTHETIC seed=englobe-ams-007 profile=demo
GEO-UM-40002,Instantel|Micromate|Geophone,UM40002,,Ottawa,Active,Available,Ottawa,,,,2026-01-07,2027-01-07,,,,,SYNTHETIC seed=englobe-ams-007 profile=demo
DST-5013,"N/A (service, not a manufactured unit)|SIM Card|CellularService",,8999967705332251701,Sudbury,Active,Available,Sudbury,,,,,,,,705-555-0167,203.0.113.66,SYNTHETIC seed=englobe-ams-007 profile=demo
GEO-SE-30002,Instantel|Series IV|Geophone,SE30002,,Toronto,Retired,Retired,,,,,2019-04-01,2020-04-01,Sold,,,,SYNTHETIC seed=englobe-ams-007 profile=demo
DST-5014,"N/A (service, not a manufactured unit)|SIM Card|CellularService",,8999944694624312199,Ottawa,Active,Available,Ottawa,,,,,,,,343-555-0143,203.0.113.102,SYNTHETIC seed=englobe-ams-007 profile=demo
DST-5015,"N/A (service, not a manufactured unit)|SIM Card|CellularService",,8999962817377656226,Ottawa,Active,Available,Ottawa,,,,,,,,343-555-0103,,SYNTHETIC seed=englobe-ams-007 profile=demo
DST-5016,"N/A (service, not a manufactured unit)|SIM Card|CellularService",,8999931525573022600,Toronto,Active,Available,Toronto,,,,,,,,647-555-0115,203.0.113.222,SYNTHETIC seed=englobe-ams-007 profile=demo
VWR-E-2000000,Encardio Rite|EDI-54V|VWReadout,E-2000000,,Toronto,Active,CheckedOut,,matteo.nwosu@englobecorp.com,09000038,,2026-06-04,2028-06-04,,,,,SYNTHETIC seed=englobe-ams-007 profile=demo
DST-5017,"N/A (service, not a manufactured unit)|SIM Card|CellularService",,8999973829728465766,Kitchener,Active,Available,Kitchener,,,,,,,,519-555-0172,,SYNTHETIC seed=englobe-ams-007 profile=demo
ACC-DP7000,RST|Reel|Other,DP7000,,SWO,Retired,Retired,,,,,,,Damaged,,,,SYNTHETIC seed=englobe-ams-007 profile=demo
DL-UM-40003,Instantel|Micromate|DataLogger,UM40003,,Ottawa,Active,Deployed,2307 Stonebridge Court,,09000178,,2025-06-16,2026-06-16,,,,,SYNTHETIC seed=englobe-ams-007 profile=demo
