InstallationComponentId,InstallationId,AssetId,KitRole,Orientation,Start,End,OpenedByLine,ClosedByLine
93444826-f56c-5c3f-b51e-ecb2d1c97f13,9bf9b878-62d4-57c4-a650-d14326a9ec6c,GEO-BG-30005,Sensor1,H,2008-01-02T13:36:42Z,2008-09-19T18:48:17Z,8f675743-2f02-542b-9811-c014772df321,31f34ae1-c7db-5454-8676-0eb6bea24e99
d25a0b1f-d72f-508b-9e6c-15b5067d773f,d986a16e-6958-528d-8cea-03b8882e15e8,DL-BE-30006,Primary,,2008-01-24T15:47:55Z,2008-02-12T18:46:11Z,6d2d1429-c1e8-590c-8a7b-c4d30197611a,916a028a-ef2e-5ee6-b4c2-f240d1a47866
5cb0f06a-784b-5691-96b3-a6ad4028f72e,d986a16e-6958-528d-8cea-03b8882e15e8,GEO-BG-30004,Sensor1,E,2008-01-24T15:47:55Z,2008-02-12T18:46:11Z,6d2d1429-c1e8-590c-8a7b-c4d30197611a,916a028a-ef2e-5ee6-b4c2-f240d1a47866
eeb9358e-25c2-5b05-9697-8ada6b3a9eb8,d41b3755-3df7-5ea0-888f-b98f2822aa4f,DL-BE-30009,Primary,,2008-02-09T15:19:44Z,2008-03-07T19:39:19Z,2d6c30eb-c2e8-5711-b604-71af6dab4624,177325d8-8e08-5527-95f4-b016da91d754
5bf63074-9f3c-5780-8944-b2354e71c3f5,fa772cec-faa3-549d-a101-0b018815d962,DL-BE-30001,Primary,,2008-02-19T20:13:02Z,2008-06-12T17:42:50Z,8c337684-0269-5aab-89c0-dda723558ea1,5ece4087-c0ba-5b93-a07d-23f33bf1394f
ed433796-3252-5195-b347-87137527e7ea,fa772cec-faa3-549d-a101-0b018815d962,GEO-BG-30000,Sensor1,E,2008-02-19T20:13:02Z,2008-06-12T17:42:50Z,8c337684-0269-5aab-89c0-dda723558ea1,5ece4087-c0ba-5b93-a07d-23f33bf1394f
9bed8127-4964-5362-ad15-38f85034ef2c,f78bb510-4ff3-56fb-b951-94ffd5c2721e,DL-BE-30006,Primary,,2008-03-03T22:52:12Z,2008-07-07T20:14:13Z,59aec6ee-af0c-5921-9c07-86382f6e77c7,80bef9fc-65e2-5e20-a02c-e6e5cae80279
724f7304-56ba-515c-ab0b-85d730e7fea9,f78bb510-4ff3-56fb-b951-94ffd5c2721e,GEO-BG-30004,Sensor1,V,2008-03-03T22:52:12Z,2008-07-07T20:14:13Z,59aec6ee-af0c-5921-9c07-86382f6e77c7,80bef9fc-65e2-5e20-a02c-e6e5cae80279
2c413a40-0f34-5b87-9ff0-f38cb3bfec2b,9df694d9-d4e0-52ee-9a2c-882b248736c9,DL-BE-30002,Primary,,2008-03-04T16:34:20Z,2008-03-17T19:49:32Z,86da3e4f-8db7-54d3-b969-45bb103507bc,8b89e61c-3d8f-5faa-99c4-d6912b66b0ee
431855ef-3d18-58bf-9572-e5224160cf89,9df694d9-d4e0-52ee-9a2c-882b248736c9,GEO-BG-30003,Sensor1,W,2008-03-04T16:34:20Z,2008-03-17T19:49:32Z,86da3e4f-8db7-54d3-b969-45bb103507bc,8b89e61c-3d8f-5faa-99c4-d6912b66b0ee
7a50d51c-9c31-575a-8535-67a25789167a,bf80bdca-d60a-57e2-bdf8-24396049658b,DL-BE-30000,Primary,,2008-03-13T20:29:38Z,2008-08-18T18:31:05Z,5568a476-3e19-5f57-9c0f-aeeb9cbff562,acd5d57b-8cbc-58f0-b1c6-5e03e5bd54fa
40e7d854-6496-5b69-adde-454e462b4c1c,bf80bdca-d60a-57e2-bdf8-24396049658b,GEO-BG-30001,Sensor1,W,2008-03-13T20:29:38Z,2008-08-18T18:31:05Z,5568a476-3e19-5f57-9c0f-aeeb9cbff562,acd5d57b-8cbc-58f0-b1c6-5e03e5bd54fa
076f342d-302c-5420-9a4d-8d6c4da79da2,c84a37b8-f1c7-57a6-8e06-479e6d8f6053,DL-BE-30003,Primary,,2008-03-21T20:52:52Z,2008-08-18T21:41:15Z,59df6606-de0f-503a-a0ef-087a5f0d8d5f,f7f46b2c-a8e0-5e75-814e-3a7cf6a71076
68bcb06a-2796-51f0-a9fd-af7f5eca81a6,c84a37b8-f1c7-57a6-8e06-479e6d8f6053,GEO-BG-30002,Sensor1,V,2008-03-21T20:52:52Z,2008-08-18T21:41:15Z,59df6606-de0f-503a-a0ef-087a5f0d8d5f,f7f46b2c-a8e0-5e75-814e-3a7cf6a71076
d9fb2e04-5400-5a1b-8e57-44d126a141a6,d7e7f558-acb9-54ba-9045-c480f65ff35e,DL-BE-30005,Primary,,2008-03-27T18:46:40Z,2008-04-08T17:05:05Z,b570a321-4615-5988-8636-f61a8cd95c20,92610a29-b60d-5c70-a235-18d4359584d3
ae1baf46-4061-579e-9ed3-bf4b1b9d5f0b,bc0e2a5a-676a-5f2a-9ebe-c44c6966a695,DL-BE-30009,Primary,,2008-04-06T17:33:38Z,2008-10-13T17:42:02Z,41966520-8a06-506f-8a47-332734a77b14,5acb16a0-1d3c-5e45-8011-2931440680dc
74423332-932a-59b5-8390-1084c343c1ae,213c307a-8d31-5ebf-a7ea-ee0ee235c8c7,DL-BE-30010,Primary,,2008-04-17T15:26:43Z,2008-09-15T19:58:12Z,2d095f4e-16a4-5a37-ae27-0d82a3940b45,d9ddf2c2-c684-53e0-9f25-2795e6b37e72
8fa83b70-47f2-5a08-acbe-e78a28768afe,3f6bbc5d-670a-59ab-80c9-a83a24cc146c,DL-BE-30008,Primary,,2008-04-23T19:28:04Z,2008-05-05T20:29:32Z,1bef14db-10b8-5d03-b844-4a4379e38e16,c67f2950-d29c-55b0-a967-89520d121428
6e1e39a5-e875-5a3e-8477-18986948eb7f,dcb77c61-dcca-5e8d-9611-0a2b348efa87,TMP-5001,Primary,,2008-04-25T19:56:39Z,2009-08-24T18:13:11Z,8ef204e6-fd8c-5e8c-a5a5-e800aacb8ff4,97a7db9c-0cc8-58fb-b164-839f8424360f
03fb917e-7416-51c3-93eb-d87635b458e1,dcb77c61-dcca-5e8d-9611-0a2b348efa87,GEO-BG-30006,Sensor1,V,2008-04-25T19:56:39Z,2009-08-24T18:13:11Z,8ef204e6-fd8c-5e8c-a5a5-e800aacb8ff4,97a7db9c-0cc8-58fb-b164-839f8424360f
df3ce7da-b339-50c0-bd94-3ae491ef8348,1bffd8e2-f8bb-59bc-bfec-46538741377d,DL-BE-30011,Primary,,2008-06-09T20:34:06Z,2008-06-25T20:42:25Z,9741f9ac-2fdc-587a-a4e1-9da7918a0e53,19db2a77-5263-500a-927f-6d880251b565
c5a9744b-e1c0-5b8a-90d7-1ee54278bdeb,8de66073-bdbb-5fac-a2e0-b8c8005e3813,DL-BE-30011,Primary,,2008-07-14T18:44:22Z,2008-09-04T10:32:58Z,74abacd9-0c33-5c8d-89bc-a97a8dd4d3fb,0813ef93-3c72-5cfd-b378-18088eaf2a87
68d679f4-d8ed-5990-9464-046d81a36fa9,7c31bf7b-2e43-5c67-b8a2-8685275be7d2,DL-BE-30008,Primary,,2008-07-18T15:55:50Z,2008-08-11T18:54:42Z,5e94703a-91e9-53e3-985a-5fdb5bfc1bc6,04c9b74a-1dde-5897-a375-78205e32f169
f2e9f972-ad69-50e8-bcfe-0cc23a0f3c91,bcbb3e4d-11a6-554e-bd2f-bb77eb96ef77,DL-BE-30001,Primary,,2008-07-23T13:29:43Z,2008-10-20T17:24:17Z,db18e13c-9d37-5e1c-8e51-36788179b7a6,86788c44-fe57-5b25-9a48-14dd284e41af
9159fef1-1e10-5538-80d1-48598782daf0,bcbb3e4d-11a6-554e-bd2f-bb77eb96ef77,GEO-BG-30000,Sensor1,V,2008-07-23T13:29:43Z,2008-10-20T17:24:17Z,db18e13c-9d37-5e1c-8e51-36788179b7a6,86788c44-fe57-5b25-9a48-14dd284e41af
29cf8a95-d09b-5b03-9738-ce5d0a9c4d07,9eeae405-394d-5512-b978-c1ba0fcdb1db,DL-BE-30012,Primary,,2008-07-24T18:54:01Z,2008-08-18T21:55:42Z,ea5537eb-d896-5f18-a0db-f507f9f2bc50,41d3cc35-acaa-51cf-bc02-952b5ea9b693
849a67e6-70bb-526b-9fa4-11332036e534,a41218b1-a4c8-504a-929d-55a95ee76d22,DL-BE-30013,Primary,,2008-08-14T15:31:00Z,2008-12-12T22:46:41Z,64da53e1-52ef-57ac-9071-f9d2bf6da604,7548067a-b2b4-5255-b298-e402364ffdb5
2acd48ac-3924-51b8-a8df-dd80943bde58,eee9a0a5-9c56-591f-974e-1dab8713f159,DL-BE-30008,Primary,,2008-08-25T12:51:18Z,2008-10-30T18:11:53Z,d82eeaa1-90c3-5ebd-a3c5-d20be6adc3d5,80c9157e-60de-5228-a7fa-a7f35b17cf6c
54942b40-d728-5868-928a-0c6032cab67f,81c55218-6bd2-5df3-abfd-521c39d12db0,DL-BE-30006,Primary,,2008-08-26T18:29:32Z,2008-11-04T19:13:42Z,e6cd306b-e152-58b7-808a-295068015014,94350ba0-f8b1-57bb-92b9-31abbe4d32bb
f64519c4-edc6-5868-b867-0b0396e961e5,81c55218-6bd2-5df3-abfd-521c39d12db0,GEO-BG-30004,Sensor1,S,2008-08-26T18:29:32Z,2008-11-04T19:13:42Z,e6cd306b-e152-58b7-808a-295068015014,94350ba0-f8b1-57bb-92b9-31abbe4d32bb
5ec71543-0d6f-55c0-b63c-9f62fe5263f2,e089630b-67d8-537e-8b3e-c89b0e281907,DL-BE-30012,Primary,,2008-08-28T11:14:47Z,2009-08-03T21:12:59Z,cbbfbbfe-7a91-5b8b-a0ba-373ddcbdd755,bfb21334-7cb0-5181-99a4-2bf91349f9fb
b724bc4c-f87b-5f45-9241-ef1fc23b6e89,1d383172-5772-5cfa-bd1d-d6dfe2a154a5,DL-BE-30000,Primary,,2008-09-04T18:52:13Z,2008-12-15T18:35:17Z,55cb92bf-32c0-5669-a2a3-5016057b634a,3ac4672d-332b-5658-9268-336ebde09376
552b3dcc-9d10-570c-93cc-077b813939a4,1d383172-5772-5cfa-bd1d-d6dfe2a154a5,GEO-BG-30001,Sensor1,E,2008-09-04T18:52:13Z,2008-12-15T18:35:17Z,55cb92bf-32c0-5669-a2a3-5016057b634a,3ac4672d-332b-5658-9268-336ebde09376
2c7a685a-7189-5542-a43c-6c1792694635,95e598d4-8e64-5c95-b079-df80f4d2291f,DL-BE-30003,Primary,,2008-10-01T21:37:12Z,2008-10-29T19:28:59Z,adec9ffc-52c1-528d-b8cb-01aa3e711dda,2aa01e09-9583-541e-a35a-69c8b1d2b736
00b24a72-d087-5ff8-8243-4466a7d80484,95e598d4-8e64-5c95-b079-df80f4d2291f,GEO-BG-30002,Sensor1,S,2008-10-01T21:37:12Z,2008-10-29T19:28:59Z,adec9ffc-52c1-528d-b8cb-01aa3e711dda,2aa01e09-9583-541e-a35a-69c8b1d2b736
85fcd89e-53b9-59b4-a6ba-cbb33de46a30,4d046a81-3efb-5c92-a2f4-5c7c32e9f727,DL-BE-30014,Primary,,2008-10-09T18:32:30Z,2009-06-25T21:58:22Z,a656c91f-9ac1-53bb-8990-5be24be7212f,428fbb68-9981-5306-ad06-ba7a0f8e2f3e
d2114c8c-e9c0-50a2-8523-720c55f0c75e,55284525-f245-59d4-b5c8-9b8954c2552c,DL-BE-30010,Primary,,2008-10-16T19:20:53Z,2008-10-25T21:55:23Z,28dbc7cb-a5c1-54e2-bf3d-326ab7d609ab,ca7c90cd-b904-5982-9926-be370a64628f
615968e6-7ff8-5625-b85f-0eed56242fc5,1ef94c68-2e8e-52c1-99f7-87e679be88b2,DL-BE-30007,Primary,,2008-10-23T19:32:02Z,2008-11-24T20:53:40Z,e9292944-6804-5c87-b34b-2a9b2664a197,ccca8e0a-4791-5946-9a37-4c9c544145d6
14bba0f9-ffc7-5d70-b755-e1936f5d9440,1ef94c68-2e8e-52c1-99f7-87e679be88b2,GEO-BG-30005,Sensor1,BH,2008-10-23T19:32:02Z,2008-11-24T20:53:40Z,e9292944-6804-5c87-b34b-2a9b2664a197,ccca8e0a-4791-5946-9a37-4c9c544145d6
85fc4d5e-2f95-5be0-bb46-40198c1be147,d90224e5-94ba-5f05-bc4b-6dc338a44702,DL-BE-30008,Primary,,2008-11-10T15:39:11Z,2009-03-16T21:43:07Z,10796273-452b-5d7c-bf4d-9e34ee53213e,a84c2eb2-bff2-5c32-a59b-d72f09f47576
5f657fad-7f62-55ed-9e6d-41224b1f448d,cb3d4cae-00ac-518f-9bb1-62362d4e0af2,DL-BE-30011,Primary,,2008-11-17T20:11:28Z,2008-12-24T18:43:20Z,1ed5c992-1c77-5d9b-9441-e9f6e6126c3b,b892e6d0-3390-5505-86ff-7be6e3eee69a
a9b22faa-0288-5f25-86d7-d0b152a6efa7,eda25f37-fb74-513d-8bc2-54be1b69e94e,DL-BE-30010,Primary,,2008-11-19T18:31:25Z,2009-02-10T01:52:27Z,adeab4ee-3ab4-5a5b-af96-8dbd896ffe23,9543dae2-1ddc-5083-af81-5e7908aaa1c4
f7cbd29a-f644-58b7-a411-c150110691e0,ac2b18fb-56b8-5d27-b116-ffbd04387796,DL-BE-30003,Primary,,2008-11-21T18:01:22Z,2009-01-09T22:12:29Z,1e1bb1da-77cc-5180-b5a1-c399eb95d334,f0139350-dd83-5518-a659-6899a154eb4d
05ff4030-43e4-5f5e-9fba-4424aeb266e3,ac2b18fb-56b8-5d27-b116-ffbd04387796,GEO-BG-30002,Sensor1,H,2008-11-21T18:01:22Z,2009-01-09T22:12:29Z,1e1bb1da-77cc-5180-b5a1-c399eb95d334,f0139350-dd83-5518-a659-6899a154eb4d
ec9d6b0f-ab67-5755-914e-082e81b5d5ff,41d09a96-9888-5818-9f69-e5d541fa36ca,DL-BE-30001,Primary,,2008-11-24T17:51:28Z,2009-03-30T19:33:30Z,fe3ffb60-6acf-582a-b915-e00eb0eccbe0,f8a103ee-861b-5bbe-8e06-f0e577dde8e7
0e0a7133-c055-5215-8ce9-565690e08e61,bd8a471f-8e5e-5d08-b9e6-f10d6305831f,DL-BE-30009,Primary,,2008-11-24T18:48:43Z,2008-12-25T20:41:31Z,a9853add-df47-5ea9-b979-edf430c3c9e8,43942e57-0cde-55d9-b995-bc61d8144001
920dffe2-23dd-53ea-80ba-af6c8ac259df,e4b5ffd9-b292-5b83-a378-62d7d9c406c7,DL-BE-30000,Primary,,2008-12-29T11:07:35Z,2009-03-01T22:32:10Z,b39525cd-2a05-5c5e-ab97-a01fe3957b36,d41f018a-0a5b-515e-b147-0f41c9546cfd
e0929b97-11ff-5ec1-b7b7-6499a599f207,e4b5ffd9-b292-5b83-a378-62d7d9c406c7,GEO-BG-30001,Sensor1,E,2008-12-29T11:07:35Z,2009-03-01T22:32:10Z,b39525cd-2a05-5c5e-ab97-a01fe3957b36,d41f018a-0a5b-515e-b147-0f41c9546cfd
efff1f09-74c8-513c-bcb3-6bb37af91adf,f7bfa53f-6614-5c9a-ac4c-57001c99b45f,DL-BE-30011,Primary,,2009-01-05T18:40:54Z,2009-01-20T19:45:11Z,b5a80cc0-2f73-5e41-b88f-2d4530656d15,c3d6f89b-8dcc-5b45-887e-c6f271ec71af
3c622f3f-fa40-59a8-ba9a-c00b1251416f,2966b43f-34ee-5224-84b6-4bfa76c78391,DL-BE-30009,Primary,,2009-01-09T18:51:42Z,2009-02-23T18:32:10Z,1f8802c9-0818-5f59-8af5-97eb7c7c0910,599b009c-0d2e-5d9c-9995-f5ff915eced7
d5eba307-642d-5eb1-b81a-f8e1b2c767f5,f9669c6d-ee93-56aa-9b93-ec51f7c1cc15,DL-BE-30007,Primary,,2009-01-12T20:20:51Z,2009-05-13T17:39:25Z,6ad3a775-d517-5042-8b9c-c0d1cd43d426,5ae67f3d-463a-552d-9458-6ece54013c63
5188aeb4-d58a-5e53-8320-fe669beddd5d,f9669c6d-ee93-56aa-9b93-ec51f7c1cc15,GEO-BG-30005,Sensor1,H,2009-01-12T20:20:51Z,2009-05-13T17:39:25Z,6ad3a775-d517-5042-8b9c-c0d1cd43d426,5ae67f3d-463a-552d-9458-6ece54013c63
4b8f3652-9364-52d1-9819-9b249b94faae,fb4d0dbb-41e9-5f9f-b110-16160987a252,DL-BE-30015,Primary,,2009-01-14T15:24:37Z,2009-10-16T19:37:40Z,f62d4790-eaa9-56ec-bb57-6fc3006f54cd,bb9beb53-b3c0-55f9-afbd-a4ad25cc40d1
ad7e6720-4885-5795-beec-30c4e91c768c,51abf60d-a582-508f-9ddf-96dc7ac0edb4,DL-BE-30016,Primary,,2009-01-15T21:02:09Z,2009-03-10T00:32:20Z,b88f589b-6ce1-54e7-8a92-30744e195db3,d8dd5107-e5da-5393-9d74-ea8a5d20fb65
04a0c96e-a25d-5b76-acf9-3ffefde0c613,8253a7e2-2bb0-5cad-87df-c50e5d77f485,DL-BE-30006,Primary,,2009-01-15T20:01:00Z,2009-09-04T18:57:13Z,87d9deb4-8dfc-563e-b187-7c8209d41c4a,e2f8e4ea-f2fa-5748-8b9c-d8b966a61020
