RecordId,AssetId,CalibrationDate,NextDueDate,Lab,CertificateNumber,CertificateUrl,Cost,Result
d2d071c3-a801-5310-9128-ad81db6c1598,GEO-BG-30005,2007-10-15,2008-10-15,,SYN-FACTORY-000020,,,Pass
8ab7a2f3-f91f-5b20-824f-287e36cb462c,GEO-BG-30000,2008-01-21,2009-01-21,Montreal Calibration,SYN-MC-08-000021,,275.00,Pass
e0ae93bc-e3c5-5cd8-a0f1-1709f3fb4ab9,DL-BE-30001,2008-02-05,2009-02-05,Montreal Calibration,SYN-MC-08-000022,,400.00,Pass
e9f4fa5d-bae7-5877-95a8-0c9cd3a6e228,TLT-850000,2008-02-11,2010-02-11,,SYN-FACTORY-000023,,,Pass
206c6ddf-5011-506f-a477-edb542b2697d,DL-BE-30005,2008-02-12,2009-02-12,Montreal Calibration,SYN-MC-08-000024,,370.00,Adjusted
b26672a3-0e86-590f-80b3-c15d478d4262,DL-BE-30002,2008-02-15,2009-02-15,Montreal Calibration,SYN-MC-08-000025,,455.00,Adjusted
2f82c1fc-55b6-5b6b-b66d-631b094dbe5c,DL-BE-30003,2008-02-22,2009-02-22,Montreal Calibration,SYN-MC-08-000026,,425.00,Pass
c36ea035-1846-5ce1-b3e3-0121d8efb02f,GEO-BG-30002,2008-02-25,2009-02-25,Montreal Calibration,SYN-MC-08-000027,,300.00,Adjusted
988eadb4-ecd2-526b-9091-34a7b9e22561,GEO-BG-30006,2008-03-26,2009-03-26,,SYN-FACTORY-000028,,,Pass
4acea67f-7a2d-5218-ab6f-91125c2cc28b,DL-BE-30010,2008-04-04,2009-04-04,,SYN-FACTORY-000029,,,Pass
9410248e-ae72-52a7-b378-aebb43fe0404,TMP-5001,2008-04-18,2009-04-18,Montreal Calibration,SYN-MC-08-000030,,415.00,Adjusted
9f625c21-2ad3-5b33-aed5-8b302838dc19,DL-BE-30011,2008-05-15,2009-05-15,,SYN-FACTORY-000031,,,Pass
2c6216f7-6a0a-5f1d-a61d-b192de634056,DL-BE-30008,2008-06-09,2009-06-09,Montreal Calibration,SYN-MC-08-000032,,455.00,Pass
f10771a5-20a8-54d9-a308-91334f8a20aa,GEO-BG-30007,2008-06-24,2009-06-24,,SYN-FACTORY-000033,,,Pass
dc18a5cc-3524-552e-8c0e-df65f19f22f9,DL-BE-30012,2008-06-30,2009-06-30,,SYN-FACTORY-000034,,,Pass
a51adca2-5bdb-57f5-91da-a817719329bd,DL-BE-30013,2008-07-10,2009-07-10,,SYN-FACTORY-000035,,,Pass
82e7251f-87bc-5a7a-aef6-d6196048addc,GEO-BG-30004,2008-08-01,2009-08-01,Montreal Calibration,SYN-MC-08-000036,,235.00,Pass
2163edc2-071e-50fd-a1c0-e82d390e6132,DL-BE-30006,2008-08-07,2009-08-07,Montreal Calibration,SYN-MC-08-000037,,460.00,Pass
fcddd40f-d571-5dc6-8c39-426bcce7008c,GEO-BG-30008,2008-09-11,2009-09-11,,SYN-FACTORY-000038,,,Pass
66523e48-9675-583d-ae20-f62273c32c3f,DL-BE-30014,2008-09-15,2009-09-15,,SYN-FACTORY-000039,,,Pass
4df7cd56-a00f-56f4-810e-4e1d664e14a5,GEO-BG-30005,2008-10-09,2009-10-09,Montreal Calibration,SYN-MC-08-000040,,235.00,Pass
6a9611b4-2d25-5d3b-87ac-e8507b49da58,DL-BE-30001,2008-11-12,2009-11-12,Montreal Calibration,SYN-MC-08-000041,,400.00,Pass
fcff1917-0c5e-568e-84d5-d040d52ed042,DL-BE-30009,2008-11-14,2009-11-14,Montreal Calibration,SYN-MC-08-000042,,430.00,Adjusted
20c1212b-0871-5b6b-ab94-8f65a54608dd,GEO-BG-30000,2008-11-24,2009-11-24,Montreal Calibration,SYN-MC-08-000043,,230.00,Pass
620127b0-d9ea-5935-91d5-e15991d15912,DL-BE-30015,2008-12-08,2009-12-08,,SYN-FACTORY-000044,,,Pass
ec9164a7-cd45-55ac-8d12-b33846958957,DL-BE-30007,2008-12-25,2009-12-25,Montreal Calibration,SYN-MC-08-000045,,420.00,Pass
331c2fd5-de4b-5a46-a53a-76e71156b7f1,DL-BE-30016,2009-01-04,2010-01-04,,SYN-FACTORY-000046,,,Pass
af7765ce-4f81-53eb-89ef-3332284c66b1,DL-BE-30005,2009-01-06,2010-01-06,Montreal Calibration,SYN-MC-09-000047,,375.00,Pass
026ac7a3-2b7a-5cca-84b0-5501eacb7aaf,DL-BE-30002,2009-01-23,2010-01-23,Montreal Calibration,SYN-MC-09-000048,,390.00,Pass
b1bacc50-b94b-5ad7-b755-f572959ead24,DL-BE-30011,2009-02-16,2010-02-16,Montreal Calibration,SYN-MC-09-000049,,360.00,Pass
0a6fa308-bb9c-59ef-863e-9679abf27510,DL-BE-30017,2009-02-26,2010-02-26,,SYN-FACTORY-000050,,,Pass
0fcf023b-c255-58f7-9a5b-d63ab5526070,DL-BE-30018,2009-03-06,2010-03-06,,SYN-FACTORY-000051,,,Pass
9812e3d0-6cb2-5ac0-98a0-37881d46b227,GEO-BG-30009,2009-03-10,2010-03-10,,SYN-FACTORY-000052,,,Pass
b086e3d9-42e6-5a46-971e-c0ae57e0dc48,DL-BE-30019,2009-04-16,2010-04-16,,SYN-FACTORY-000053,,,Pass
872d1eb2-5162-589f-bc0b-60a34987ca68,DL-BE-30008,2009-04-27,2010-04-27,Montreal Calibration,SYN-MC-09-000054,,390.00,Pass
ab3f2881-d374-5a81-86cf-e5c5ce0851ac,DL-BE-30020,2009-05-20,2010-05-20,,SYN-FACTORY-000055,,,Pass
2d033fb2-e884-548a-8381-994bfd0068d6,DL-BE-30021,2009-05-25,2010-05-25,,SYN-FACTORY-000056,,,Pass
5c2d3e79-8d71-58ac-8c76-a02666f73708,GEO-BG-30007,2009-05-25,2010-05-25,Montreal Calibration,SYN-MC-09-000057,,295.00,Pass
f9b6638a-3532-56dc-b1bc-8b89844a02c4,DL-BE-30022,2009-06-16,2010-06-16,,SYN-FACTORY-000058,,,Pass
06d2ff1d-1914-56c1-8eaf-0f033b8cb24d,DL-BE-30014,2009-07-17,2010-07-17,Montreal Calibration,SYN-MC-09-000059,,455.00,Pass
3028bd0a-7b7c-571d-92ed-2bef261fd519,GEO-BG-30001,2009-07-26,2010-07-26,Montreal Calibration,SYN-MC-09-000060,,290.00,Pass
cb541547-d112-5a97-aa7f-681d557b544c,DL-BE-30000,2009-08-06,2010-08-06,Montreal Calibration,SYN-MC-09-000061,,380.00,Pass
7837e1ec-cf29-54ec-9bc5-d3667687d235,GEO-BG-30010,2009-08-19,2010-08-19,,SYN-FACTORY-000062,,,Pass
3bbb8146-f08c-570e-9056-cf1304456b33,DL-BE-30023,2009-10-05,2010-10-05,,SYN-FACTORY-000063,,,Pass
1e8fe491-a720-547e-8d79-dfdbcf9d9b9a,GEO-BG-30006,2009-10-12,2010-10-12,Montreal Calibration,SYN-MC-09-000064,,250.00,Pass
53d875dd-6c19-503e-beec-35d2a1bfdf45,DL-BE-30012,2009-10-15,2010-10-15,Montreal Calibration,SYN-MC-09-000065,,435.00,Pass
e6351ddf-9bbd-562a-96ba-2c308fa25a09,GEO-BG-30008,2009-11-03,2010-11-02,Montreal Calibration,SYN-MC-09-000066,,230.00,Pass
a57d48c5-d982-584e-aa6f-8d4ecf96c54b,DL-BE-30005,2009-11-04,2010-11-03,Montreal Calibration,SYN-MC-09-000067,,385.00,Pass
772e1f88-745b-58cc-96d9-ffbf0eb1f086,TMP-5001,2009-11-09,2010-11-09,Montreal Calibration,SYN-MC-09-000068,,380.00,Pass
61d62d2f-42ba-5131-9c2f-ce80402d84ef,TLT-850000,2009-11-16,2011-11-16,Montreal Calibration,SYN-MC-09-000069,,230.00,Pass
9f2e970b-acd3-500c-80a1-15c43b6c72a4,GEO-BG-30002,2009-11-16,2010-11-16,Montreal Calibration,SYN-MC-09-000070,,280.00,Pass
4e6fa981-f672-5c33-aa01-1695c3686395,DL-BE-30003,2009-11-23,2010-11-23,Montreal Calibration,SYN-MC-09-000071,,475.00,Adjusted
283f28de-aecd-5c80-a917-ce5cdb8f315c,GEO-BG-30000,2009-12-07,2010-12-07,Montreal Calibration,SYN-MC-09-000072,,255.00,Pass
d0155ffa-f05b-5fcc-a9b9-8567bd6bbeee,DL-BE-30001,2009-12-11,2010-12-11,Montreal Calibration,SYN-MC-09-000073,,395.00,Pass
2ad6c96d-fb5b-58c8-a2ff-85833b7b9948,DL-BE-30002,2010-01-12,2011-01-12,Montreal Calibration,SYN-MC-10-000074,,450.00,Pass
0fb74658-96b3-5664-b920-520dd0d7b4d9,DL-BE-30024,2010-01-18,2011-01-18,,SYN-FACTORY-000075,,,Pass
416b8dc6-31a2-5f0c-8c7e-219609cda5b2,GEO-BG-30011,2010-01-28,2011-01-28,,SYN-FACTORY-000076,,,Pass
12891c6d-3241-5d2e-8f6f-d080a7f525dc,DL-BE-30014,2010-02-11,2011-02-11,Montreal Calibration,SYN-MC-10-000077,,380.00,Adjusted
1e902437-e16c-5756-948f-b343a914c11f,GEO-BG-30009,2010-02-22,2011-02-22,Montreal Calibration,SYN-MC-10-000078,,265.00,Pass
7a0a5d57-8601-52bc-b2e5-0515c2592bff,DL-BE-30021,2010-03-05,2011-03-05,Montreal Calibration,SYN-MC-10-000079,,380.00,Pass
b6978e1d-290c-54fb-886d-6afa6de8438a,DL-BE-30013,2010-03-25,2011-03-25,Montreal Calibration,SYN-MC-10-000080,,455.00,Pass
eb4cb248-8576-5763-8753-7985ea56338d,DL-BE-30020,2010-03-25,2011-03-25,Montreal Calibration,SYN-MC-10-000081,,390.00,Pass
b63fd4e8-a24d-58d6-a049-0ee2d01762cf,GEO-BG-30012,2010-03-26,2011-03-26,,SYN-FACTORY-000082,,,Pass
9f4abc7f-2ae2-5b49-94ad-fcfd1ebc56cd,DL-BE-30025,2010-03-29,2011-03-29,,SYN-FACTORY-000083,,,Pass
7fa65e73-9da8-5534-b690-70fb7a5e0499,DL-BE-30026,2010-04-23,2011-04-23,,SYN-FACTORY-000084,,,Pass
4c8c53a9-842d-5810-91e9-28f102da66f8,DL-BE-30008,2010-04-26,2011-04-26,Montreal Calibration,SYN-MC-10-000085,,480.00,Pass
4acd8874-ec4d-5085-ad72-aa2f8c373ecd,GEO-BG-30005,2010-05-04,2011-05-04,Montreal Calibration,SYN-MC-10-000086,,295.00,Pass
6d6e1acb-083a-5d32-b974-b9fa22e0bd26,DL-BE-30007,2010-05-04,2011-05-04,Montreal Calibration,SYN-MC-10-000087,,375.00,Pass
b7e0d430-22ff-5e84-9570-8e1928ba0042,GEO-BG-30007,2010-05-10,2011-05-10,Montreal Calibration,SYN-MC-10-000088,,225.00,Pass
1845faa7-cdc0-5eab-be22-ed6ba4713701,TLT-850000,2010-06-08,2012-06-08,Montreal Calibration,SYN-MC-10-000089,,225.00,Pass
a6c774a7-6474-5760-aa39-5e88bde0bd20,DL-BE-30027,2010-06-09,2011-06-09,,SYN-FACTORY-000090,,,Pass
ba75e271-28ed-5224-a323-8d72e5315e65,DL-BE-30028,2010-07-05,2011-07-05,,SYN-FACTORY-000091,,,Pass
6338cf43-2125-537f-92e6-c7ce510bc798,DL-BE-30006,2010-07-12,2011-07-12,Montreal Calibration,SYN-MC-10-000092,,445.00,Pass
ce8fa6a6-5ef1-5b96-a9bb-96df1a824056,GEO-BG-30004,2010-07-15,2011-07-15,Montreal Calibration,SYN-MC-10-000093,,260.00,Pass
96b84b61-4d33-5190-abd1-98c5dae662d4,GEO-BG-30010,2010-07-19,2011-07-19,Montreal Calibration,SYN-MC-10-000094,,220.00,Pass
235583c2-e4cb-5301-a858-05a1ce2f43bb,DL-BE-30011,2010-09-09,2011-09-09,Montreal Calibration,SYN-MC-10-000095,,465.00,Pass
28095248-b0b4-57e3-865b-af443d4b0287,DL-BE-30029,2010-09-14,2011-09-14,,SYN-FACTORY-000096,,,Pass
ecc2cf1c-cdee-53dd-8c2b-530634152505,GEO-BG-30013,2010-09-27,2011-09-27,,SYN-FACTORY-000097,,,Pass
8669ed94-4ded-5ac3-84aa-1038c0e74ca7,DL-BE-30005,2010-10-14,2011-10-14,Montreal Calibration,SYN-MC-10-000098,,460.00,Pass
fce2851f-748d-5f30-a752-1540a3297ca0,GEO-BG-30008,2010-10-29,2011-10-29,Montreal Calibration,SYN-MC-10-000099,,250.00,Pass
c2d42437-c480-53e5-8f78-81d44d79bd97,TMP-5001,2010-11-02,2011-11-02,Montreal Calibration,SYN-MC-10-000100,,430.00,Pass
47f8652b-c946-5897-9fff-7d1ca0328945,GEO-BG-30006,2010-11-08,2011-11-08,Montreal Calibration,SYN-MC-10-000101,,280.00,Pass
210ed1e6-5e8f-5363-b819-ae2b0eca86f2,GEO-BG-30014,2010-11-26,2011-11-26,,SYN-FACTORY-000102,,,Pass
ed512a22-f160-54ce-bf2b-101c86c1f3e1,DL-BE-30002,2010-12-06,2011-12-06,Montreal Calibration,SYN-MC-10-000103,,440.00,Pass
fb059cce-88ec-55d8-a621-c21ff55a8e24,DL-BE-30030,2010-12-09,2011-12-09,,SYN-FACTORY-000104,,,Pass
92b10c66-63ee-5f9f-80f4-f52e9e8623e3,GEO-BG-30011,2010-12-09,2011-01-28,Montreal Calibration,SYN-MC-10-000105,,255.00,Fail
0519ea7c-3f60-5191-8b9f-de5f77bb7297,DL-BE-30016,2010-12-13,2011-12-13,Montreal Calibration,SYN-MC-10-000106,,385.00,Pass
ff060ba1-ee95-5711-9450-b234529c3398,GEO-BG-30001,2010-12-20,2011-12-20,Montreal Calibration,SYN-MC-10-000107,,235.00,Pass
e36646fe-4fc0-50ed-8d19-72fbf7ad2ab9,DL-BE-30012,2010-12-21,2011-12-21,Montreal Calibration,SYN-MC-10-000108,,375.00,Pass
5d7bcf77-c44b-5207-b639-2907cef9632c,DL-BE-30014,2010-12-23,2011-12-23,Montreal Calibration,SYN-MC-10-000109,,475.00,Pass
be5cf725-4eda-5d4b-a4ae-fc790bbfc012,DL-BE-30000,2010-12-23,2011-12-23,Montreal Calibration,SYN-MC-10-000110,,360.00,Adjusted
1f6d2602-2041-5fb8-8c0e-947b177c0d92,GEO-BG-30015,2010-12-24,2011-12-24,,SYN-FACTORY-000111,,,Pass
a5c9168c-d027-5048-9075-732f6a6cc72f,DL-BE-30021,2010-12-30,2011-12-30,Montreal Calibration,SYN-MC-10-000112,,465.00,Pass
71728f7b-b819-5bba-b709-7b4ee0f27cb8,DL-BE-30017,2011-01-06,2012-01-06,Montreal Calibration,SYN-MC-11-000113,,455.00,Pass
36e08a8c-a5ce-501b-bb46-a62c74b8ce69,DL-BE-30009,2011-01-17,2012-01-17,Montreal Calibration,SYN-MC-11-000114,,380.00,Pass
74689009-0824-5402-a387-f677891b6283,DL-BE-30021,2011-02-06,2012-02-06,Montreal Calibration,SYN-MC-11-000115,,390.00,Pass
bff26bee-c3a7-537f-bb0a-9d3e796955d7,DL-BE-30023,2011-02-11,2012-02-11,Montreal Calibration,SYN-MC-11-000116,,425.00,Pass
ec52947f-4d5b-5f3f-9129-b41292750db0,GEO-BG-30011,2011-02-14,2012-02-14,Montreal Calibration,SYN-MC-11-000117,,270.00,Pass
89182bac-d77e-5492-baec-b785e9a47628,DL-BE-30022,2011-02-15,2012-02-15,Montreal Calibration,SYN-MC-11-000118,,445.00,Pass
cb9d7c38-640f-5547-9df2-728567fd4138,DL-BE-30020,2011-03-02,2012-03-02,Montreal Calibration,SYN-MC-11-000119,,460.00,Adjusted
fc9f4a4b-896c-5b96-b5b3-8e61d3304afd,DL-BE-30013,2011-03-18,2012-03-18,Montreal Calibration,SYN-MC-11-000120,,385.00,Adjusted
214f400c-d27d-52fe-868d-1f23d8f47911,DL-BE-30031,2011-03-28,2012-03-28,,SYN-FACTORY-000121,,,Pass
2d2e753c-c884-558a-a15e-3462ff685d7e,GEO-BG-30016,2011-04-05,2012-04-05,,SYN-FACTORY-000122,,,Pass
f7774031-13a6-52ae-a50e-f6ffbcbad7f3,GEO-BG-30012,2011-04-12,2012-04-12,Montreal Calibration,SYN-MC-11-000123,,295.00,Pass
37b56199-d8d7-5ddf-83ca-7551c701b096,DL-BE-30010,2011-04-18,2012-04-18,Montreal Calibration,SYN-MC-11-000124,,450.00,Pass
d8b0b06e-19a3-5293-b55e-a1fd7412c55e,DL-BE-30027,2011-04-19,2012-04-19,Montreal Calibration,SYN-MC-11-000125,,405.00,Adjusted
cc12a299-9a77-503a-80d7-f4cc46eda80a,GEO-BG-30007,2011-05-02,2012-05-02,Montreal Calibration,SYN-MC-11-000126,,245.00,Pass
ff0ff2ef-99a1-54f4-ba33-2a21caa3c4f8,GEO-SE-30000,2011-05-03,2012-05-03,,SYN-FACTORY-000127,,,Pass
363773d6-7d12-564e-a2ad-faa805cfff7c,GEO-BG-30008,2011-05-30,2012-05-30,Montreal Calibration,SYN-MC-11-000128,,255.00,Pass
521d1ace-9a89-5625-83d2-0b7e44e5d3dc,GEO-BG-30017,2011-06-06,2012-06-06,,SYN-FACTORY-000129,,,Pass
99590e95-646f-546e-b671-c8450b35c1e9,DL-BE-30032,2011-06-06,2012-06-06,,SYN-FACTORY-000130,,,Pass
c5c35672-3819-5746-b08f-29baca9b8735,DL-BE-30012,2011-06-13,2012-06-13,Montreal Calibration,SYN-MC-11-000131,,370.00,Adjusted
83f78bbe-2bdd-5210-babd-5f3c5ef96d32,GEO-BG-30018,2011-07-07,2012-07-07,,SYN-FACTORY-000132,,,Pass
19700f5b-f98c-52da-8687-d78af3d4a49f,DL-BE-30028,2011-07-21,2012-07-21,Montreal Calibration,SYN-MC-11-000133,,455.00,Pass
b7b1111d-25b0-507c-aaec-8471190f8cbb,GEO-BG-30002,2011-08-05,2012-08-05,Montreal Calibration,SYN-MC-11-000134,,255.00,Pass
03908a49-ac75-5402-bddd-e0a8c8b1cb31,DL-BE-30003,2011-08-08,2012-08-08,Montreal Calibration,SYN-MC-11-000135,,385.00,Pass
c01aa708-556c-5db0-aea7-e40bcdd3883c,DL-BE-30006,2011-08-09,2012-08-09,Montreal Calibration,SYN-MC-11-000136,,435.00,Pass
6f9ed8e9-cdf5-5cdb-969c-fc4f5acd9b42,GEO-BG-30004,2011-08-18,2012-08-18,Montreal Calibration,SYN-MC-11-000137,,270.00,Pass
93a1403e-cf39-537d-bc7e-64f68e27d506,GEO-BG-30019,2011-08-18,2012-08-18,,SYN-FACTORY-000138,,,Pass
c49bbf18-0612-51f5-9908-07bf0f3541b0,DL-BE-30033,2011-08-22,2012-08-22,,SYN-FACTORY-000139,,,Pass
4bd22a4e-75f0-5e7f-a03c-ef01a47a2ac9,GEO-BG-30013,2011-08-22,2012-08-22,Montreal Calibration,SYN-MC-11-000140,,275.00,Pass
12c7dbe4-e045-577d-9a17-3b972ae78fd5,GEO-BG-30020,2011-09-12,2012-09-12,,SYN-FACTORY-000141,,,Pass
6f6f6a85-bfde-569e-a05d-1cc7a3a5484a,DL-BE-30005,2011-09-12,2012-09-12,Montreal Calibration,SYN-MC-11-000142,,475.00,Pass
19b54159-cfa6-54e5-a13a-55fa3235eca5,DL-BE-30034,2011-09-19,2012-09-19,,SYN-FACTORY-000143,,,Pass
2db2a0c2-409e-5835-9557-8e01762b404f,DL-BE-30029,2011-09-20,2012-09-20,Montreal Calibration,SYN-MC-11-000144,,460.00,Pass
deca5926-cbf7-5415-bed3-7f23ef444600,GEO-BG-30000,2011-09-30,2012-09-30,Montreal Calibration,SYN-MC-11-000145,,240.00,Pass
4f211062-74b0-5d55-b642-67565b4bb190,DL-BE-30008,2011-10-05,2012-10-05,Montreal Calibration,SYN-MC-11-000146,,395.00,Pass
67971ccf-ad70-547f-a204-c59efca0e318,GEO-BG-30001,2011-10-10,2012-10-10,Montreal Calibration,SYN-MC-11-000147,,230.00,Pass
dc8d0cbf-e767-5499-bf70-55ae4c4061e2,GEO-BG-30009,2011-10-14,2012-10-14,Montreal Calibration,SYN-MC-11-000148,,280.00,Adjusted
6c4f83c6-9a0e-5182-8866-d4ab845a885e,DL-BE-30026,2011-10-17,2012-10-17,Montreal Calibration,SYN-MC-11-000149,,400.00,Pass
c453e6fc-da40-51e7-998a-ad520a354656,DL-BE-30035,2011-10-22,2012-10-22,,SYN-FACTORY-000150,,,Pass
813a8f4e-58f2-5c55-8e81-677a52c3a50f,DL-BE-30001,2011-10-31,2012-10-31,Montreal Calibration,SYN-MC-11-000151,,375.00,Pass
633dbdf7-30f6-5248-859e-e6d5cf777f93,DL-BE-30007,2011-11-03,2012-11-03,Montreal Calibration,SYN-MC-11-000152,,450.00,Pass
de8d6941-9e7f-5ced-8626-e9485c36594b,DL-BE-30036,2011-11-18,2012-11-18,,SYN-FACTORY-000153,,,Pass
1c3f2735-e7c0-5485-aba0-8cb141e2f57a,DL-BE-30000,2011-11-21,2012-11-21,Montreal Calibration,SYN-MC-11-000154,,385.00,Pass
04ce29ad-3c23-5fbd-b1d4-75dacbae6899,GEO-BG-30015,2011-11-29,2012-11-29,Montreal Calibration,SYN-MC-11-000155,,280.00,Adjusted
5054eaf1-edbb-5806-aba7-58d8470f2ac2,GEO-BG-30010,2011-12-02,2012-12-02,Montreal Calibration,SYN-MC-11-000156,,260.00,Pass
98d216ce-2fea-5510-bdea-8c7ba4b42ba6,GEO-BG-30021,2011-12-06,2012-12-06,,SYN-FACTORY-000157,,,Pass
79da8cee-4459-598c-8a5f-443f858dd711,GEO-BG-30014,2011-12-07,2012-12-07,Montreal Calibration,SYN-MC-11-000158,,230.00,Pass
618435aa-3452-5a32-b590-56655ec006ad,DL-BE-30015,2011-12-16,2012-12-16,Montreal Calibration,SYN-MC-11-000159,,420.00,Pass
24ef273c-a1b4-5755-b47c-262dfbeddd3d,GEO-BG-30016,2011-12-23,2012-12-23,Montreal Calibration,SYN-MC-11-000160,,240.00,Pass
9429a5c5-1d38-5f67-a485-2a597fb1f6a9,GEO-BG-30022,2012-01-09,2013-01-09,,SYN-FACTORY-000161,,,Pass
7e170399-b30a-58bf-9bbe-e3edd9680477,DL-BE-30037,2012-01-23,2013-01-23,,SYN-FACTORY-000162,,,Pass
85a4115a-64bc-5dbd-ae08-f21bc65856b2,DL-BE-30019,2012-01-30,2013-01-30,Montreal Calibration,SYN-MC-12-000163,,390.00,Pass
4733826d-4177-59f5-93c1-4b6f62b12474,DL-BE-30031,2012-02-21,2013-02-21,Montreal Calibration,SYN-MC-12-000164,,440.00,Pass
6548a4be-8917-5d87-9fd9-50c2c8c9584f,DL-BE-30026,2012-02-21,2013-02-21,Montreal Calibration,SYN-MC-12-000165,,475.00,Pass
043a9024-7c69-5b58-904f-46be9863a848,DL-BE-30038,2012-02-22,2013-02-22,,SYN-FACTORY-000166,,,Pass
a0ca55a1-a836-5bd8-bcd3-d9378bfa019d,DL-BE-30023,2012-03-07,2013-03-07,Montreal Calibration,SYN-MC-12-000167,,455.00,Pass
c6828514-a204-5d60-8fe0-925ac55b692c,GEO-BG-30002,2012-03-12,2013-03-12,Montreal Calibration,SYN-MC-12-000168,,265.00,Pass
a83c39b0-60c1-52f6-9e30-884dfbd67522,GEO-SE-30000,2012-03-19,2013-03-19,Montreal Calibration,SYN-MC-12-000169,,225.00,Pass
8bebb102-9898-5a2b-bdb7-cd8a9c9e0afa,GEO-BG-30007,2012-03-27,2013-03-27,Montreal Calibration,SYN-MC-12-000170,,280.00,Pass
c4c4080d-1fd0-5696-9011-5709080ad9f0,DL-BE-30020,2012-03-29,2013-03-29,Montreal Calibration,SYN-MC-12-000171,,420.00,Adjusted
60a0b169-1fba-5206-9f22-a0da90582b3e,DL-BE-30039,2012-04-09,2013-04-09,,SYN-FACTORY-000172,,,Pass
06c307e2-fcc2-5205-bb05-8789adf0255f,DL-BE-30028,2012-04-19,2013-04-19,Montreal Calibration,SYN-MC-12-000173,,370.00,Pass
bb46bc5e-8830-58a9-ae06-2525fb41e238,DL-BE-30017,2012-04-23,2013-04-23,Montreal Calibration,SYN-MC-12-000174,,450.00,Adjusted
90142ac6-8b26-54c0-ae69-33f754d548ec,TLT-850000,2012-04-30,2014-04-30,Montreal Calibration,SYN-MC-12-000175,,205.00,Adjusted
1bb594be-a7e6-519e-854d-2f94549e3320,DL-BE-30040,2012-05-08,2013-05-08,,SYN-FACTORY-000176,,,Pass
3b55cd55-5bbe-506b-acf4-99fb6ade6caf,DL-BE-30011,2012-05-28,2013-05-28,Montreal Calibration,SYN-MC-12-000177,,420.00,Pass
f3491384-0e57-5882-b48f-98f64e33735b,DL-BE-30016,2012-06-02,2013-06-02,Montreal Calibration,SYN-MC-12-000178,,385.00,Adjusted
92af4807-1c8d-556a-96b2-28ccc25e67da,GEO-BG-30023,2012-06-07,2013-06-07,,SYN-FACTORY-000179,,,Pass
c4043c72-0ab8-57c8-a35f-a07eff670a73,DL-BE-30032,2012-06-08,2013-06-08,Montreal Calibration,SYN-MC-12-000180,,430.00,Pass
5997d62b-eec8-525c-ae06-d04bac147394,DL-BE-30041,2012-06-19,2013-06-19,,SYN-FACTORY-000181,,,Pass
