LineId,TransactionName,AssetId,StatusBefore,StatusAfter,KitRole,Orientation,PowerSource,Condition,Processed,Notes
1274c1b6-dfc8-5c87-a4e7-74d833b5a6ad,TXN-000057,TMP-5001,InCalibration,Available,,,,,TRUE,
ca4f2c38-eb30-5597-83e7-cbbb8d61db73,TXN-000058,DL-BE-30008,Available,Available,,,,,TRUE,
53116b73-5882-5766-8225-676fc7510d17,TXN-000059,DL-BE-30003,Deployed,CheckedOut,,,,Good,TRUE,
e1342495-eec2-5602-b709-2253c89d7b9b,TXN-000060,TMP-5001,Available,Deployed,Primary,,AC,,TRUE,
c988117b-bf43-530e-8940-0952826c3252,TXN-000061,DL-BE-30003,CheckedOut,Available,,,,Good,TRUE,
7f0f6597-5eed-56c3-9e76-2bc371dbed96,TXN-000062,DL-BE-30005,Deployed,CheckedOut,,,,Good,TRUE,
eea6dbe3-6eb5-500d-be5a-d94fe9dae45e,TXN-000063,DL-BE-30005,CheckedOut,Available,,,,Good,TRUE,
820d1091-28e3-55ce-bd69-b7c59f80db61,TXN-000064,DL-BE-30006,InCalibration,Available,,,,,TRUE,
7bdd47c8-c24e-5258-9cf2-0b92db513604,TXN-000065,DL-BE-30006,Available,Deployed,Primary,,Solar,,TRUE,
0f215d48-15bc-52af-856a-eadb113982d2,TXN-000066,TMP-5001,Deployed,CheckedOut,,,,Good,TRUE,
81a61ac0-5018-55db-8b5b-1035ffd23766,TXN-000067,DL-BE-30000,InCalibration,Available,,,,,TRUE,
f1e312e8-63f5-57f9-8fac-15c7d003cde0,TXN-000068,DL-BE-30008,Available,Deployed,Primary,,Battery,,TRUE,
71669202-34dd-5687-b86e-24972d497518,TXN-000069,DL-BE-30000,Available,CheckedOut,,,,,TRUE,
15075a73-0a9a-5889-b12a-f68662ac0079,TXN-000069,GEO-BG-30001,Available,CheckedOut,,,,,TRUE,
d8492726-0126-597b-910e-d996ceab347c,TXN-000070,DL-BE-30003,Available,CheckedOut,,,,,TRUE,
f496b139-d4ca-5cb9-a530-6dc7d8471aa1,TXN-000070,GEO-BG-30002,Available,CheckedOut,,,,,TRUE,
8f5826d7-ec3b-5846-81c6-004a2c0e54bf,TXN-000071,TMP-5001,CheckedOut,Deployed,Primary,,Battery,,TRUE,
b93a227d-0976-503a-8ff1-472d73ac6ce0,TXN-000072,DL-BE-30000,CheckedOut,Deployed,Primary,,Battery,,TRUE,
6fada54c-7c33-5b40-bcfd-6ea4371395b3,TXN-000072,GEO-BG-30001,CheckedOut,Deployed,Sensor1,BH,Battery,,TRUE,
61f9a08e-f5fb-5cce-9f08-3c26a202f12a,TXN-000073,DL-BE-30003,CheckedOut,Deployed,Primary,,Battery,,TRUE,
214a97e0-32a8-5e56-a08c-4196e3e26f00,TXN-000073,GEO-BG-30002,CheckedOut,Deployed,Sensor1,S,Battery,,TRUE,
691ead38-4bd8-5334-b612-c467969b658e,TXN-000074,DL-BE-30006,Deployed,CheckedOut,,,,Good,TRUE,
06d62857-cab8-5a98-8c6b-d32e4ab4b89c,TXN-000075,DL-BE-30006,CheckedOut,Available,,,,Good,TRUE,
458ff215-8208-58fd-9ef6-da0c81fd8c79,TXN-000076,DL-BE-30009,Available,Available,,,,,TRUE,
282abc84-0f0a-5df7-80ca-4a376820eedb,TXN-000077,GEO-BG-30003,Available,Available,,,,,TRUE,
22b3b96a-ef20-56a2-96f8-abb17b324d9f,TXN-000078,DL-BE-30002,Deployed,CheckedOut,,,,Good,TRUE,
e254dc99-7a93-52a0-9104-5a301ad6c5b4,TXN-000079,DL-BE-30009,Available,CheckedOut,,,,,TRUE,
7386d665-2476-5991-a649-4ba655cea398,TXN-000080,DL-BE-30009,CheckedOut,Deployed,Primary,,AC,,TRUE,
4fd942ec-cad7-5cfa-a2bb-cf6afa37c0bb,TXN-000081,GEO-BG-30004,Available,Available,,,,,TRUE,
5c184f0e-2a40-5c84-873a-528dd0363914,TXN-000082,DL-BE-30006,Available,CheckedOut,,,,,TRUE,
8e6fae8e-ea16-533e-88c5-89c52c3fbbde,TXN-000082,GEO-BG-30004,Available,CheckedOut,,,,,TRUE,
6d068f05-0dc2-582a-b2aa-391f615e3e0a,TXN-000083,DL-BE-30006,CheckedOut,Deployed,Primary,,Battery,,TRUE,
48b3a446-0da9-5e62-9b7c-f05e2940b753,TXN-000083,GEO-BG-30004,CheckedOut,Deployed,Sensor1,S,Battery,,TRUE,
8fa9a80f-c422-5b23-a720-857bd6f750bd,TXN-000084,DST-5002,Available,Available,,,,,TRUE,
6b62081c-25c0-53b4-bfe0-cc9fbf90288d,TXN-000085,DL-BE-30008,Deployed,CheckedOut,,,,Good,TRUE,
cec371ce-2c26-5336-8fdb-2a64669ef738,TXN-000086,DL-BE-30008,CheckedOut,Available,,,,Good,TRUE,
56875ae6-0c6c-578b-bcf4-487858b0aae5,TXN-000087,DL-BE-30009,Deployed,CheckedOut,,,,Good,TRUE,
b7e15aa1-5e0e-5c31-9328-1abef91979a4,TXN-000088,DL-BE-30009,CheckedOut,Available,,,,Good,TRUE,
3fb1efdf-ec18-53ba-993c-8b872e6b77a5,TXN-000089,DL-BE-30006,Deployed,CheckedOut,,,,Good,TRUE,
c2685232-a70d-5d59-b59a-7478532272b8,TXN-000089,GEO-BG-30004,Deployed,CheckedOut,,,,Good,TRUE,
7b6e9868-6a32-56c3-a7a4-a67c04eb4fc8,TXN-000090,DL-BE-30000,Deployed,CheckedOut,,,,Good,TRUE,
7b1e143f-8616-5a27-ab18-8279b88e988b,TXN-000090,GEO-BG-30001,Deployed,CheckedOut,,,,Good,TRUE,
2dc74a88-b9fa-590b-8139-a79020cd195f,TXN-000091,GEO-BG-30005,Available,Available,,,,,TRUE,
4c1fc764-f7a7-5475-9ec4-dff42a853a13,TXN-000092,DL-BE-30001,Deployed,Deployed,,,,,TRUE,
e8f60414-fd07-57f4-8235-35eb840d959d,TXN-000092,GEO-BG-30000,Deployed,Deployed,,,,,TRUE,
b9bb5145-aafc-568d-a1e0-1a58675546fc,TXN-000093,DL-BE-30006,CheckedOut,Available,,,,Good,TRUE,
4096830e-569b-5fd3-939b-31b62acfeea6,TXN-000093,GEO-BG-30004,CheckedOut,Available,,,,Good,TRUE,
614ffade-ff27-5907-86e3-9c7539b2ae9a,TXN-000094,DL-BE-30006,Available,Deployed,Primary,,Battery,,TRUE,
46a44ad8-63e5-586b-af7f-ec032bbb8c53,TXN-000094,GEO-BG-30004,Available,Deployed,Sensor1,H,Battery,,TRUE,
fd3ce81b-f681-53e8-8d9b-70d5200328ee,TXN-000095,DL-BE-30000,CheckedOut,Available,,,,Good,TRUE,
d35e2919-19af-52e6-80a9-64c30533507c,TXN-000095,GEO-BG-30001,CheckedOut,Available,,,,Good,TRUE,
42eb1180-f03e-5de3-b088-6020c887a5db,TXN-000096,DL-BE-30000,Available,Deployed,Primary,,Battery,,TRUE,
5662601f-9cdf-5ca8-85d3-71455fca8234,TXN-000096,GEO-BG-30001,Available,Deployed,Sensor1,H,Battery,,TRUE,
340042a8-e0c5-573c-8e95-a9c3a76f6d18,TXN-000097,DL-BE-30008,Available,Deployed,Primary,,External,,TRUE,
2d4a71f4-bcbf-5c03-aa55-c3baa93a34c9,TXN-000098,DL-BE-30001,Deployed,CheckedOut,,,,Good,TRUE,
699bfae6-9cd2-50d2-9c01-3bbf71957712,TXN-000098,GEO-BG-30000,Deployed,CheckedOut,,,,Good,TRUE,
0db3bf1b-9ea0-55f0-8046-9556bc1d8008,TXN-000099,DL-BE-30001,CheckedOut,Available,,,,NeedsService,TRUE,
d03c9799-11f2-5d56-89b7-f1a7a6359ebd,TXN-000099,GEO-BG-30000,CheckedOut,Available,,,,Damaged,TRUE,
c7a67694-a4ca-5735-952c-3754a98ab25e,TXN-000100,DL-BE-30001,Available,NeedsRepair,,,,,TRUE,
26797daa-8722-51b4-8a82-161cabb6e2ba,TXN-000100,GEO-BG-30000,Available,NeedsRepair,,,,,TRUE,
4c3c5df8-3904-5a52-919a-594eb12690ac,TXN-000101,DL-BE-30007,Deployed,Deployed,,,,,TRUE,
3f597286-0d67-57ee-af23-b32ab1eaea4a,TXN-000102,DL-BE-30009,Available,CheckedOut,,,,,TRUE,
7117c405-37e3-5ca3-abfd-488c64e4bf6a,TXN-000103,DL-BE-30009,CheckedOut,Deployed,Primary,,AC,,TRUE,
fc553602-98a0-5ec5-92ac-5e53a443e6ec,TXN-000104,DL-BE-30007,Deployed,CheckedOut,,,,Good,TRUE,
30d367d7-680d-5036-a6ce-ee6c93f2aed5,TXN-000105,DL-BE-30007,CheckedOut,Available,,,,Good,TRUE,
5b6572fc-4bd0-59b5-91af-9b0aac8bb8f4,TXN-000106,GEO-BG-30000,NeedsRepair,Available,,,,,TRUE,
c3f9ac16-4a18-50ca-8277-49b6048ea895,TXN-000107,DL-BE-30006,Deployed,CheckedOut,,,,Good,TRUE,
14d6db5d-f21d-5b29-8477-b915daf9f979,TXN-000107,GEO-BG-30004,Deployed,CheckedOut,,,,Good,TRUE,
5c760b22-551f-57cd-ace0-b877f0dfa8a1,TXN-000108,DL-BE-30001,NeedsRepair,Available,,,,,TRUE,
fdd46b44-c5f4-5770-bd8c-48875153ae89,TXN-000109,GEO-BG-30000,Available,InCalibration,,,,,TRUE,
7041a6e0-8e1b-50f1-afea-d5f62606d0de,TXN-000110,DL-BE-30007,Available,Deployed,Primary,,AC,,TRUE,
460aee67-8d5e-5a28-b810-f69af71281f1,TXN-000110,GEO-BG-30005,Available,Deployed,Sensor1,H,AC,,TRUE,
00d8ddab-0ab1-5ce5-8dc1-231209fa5a8b,TXN-000111,TMP-5001,Deployed,Deployed,,,,,TRUE,
057085fc-c617-5490-a59c-3f651a2d1b85,TXN-000112,DL-BE-30003,Deployed,Deployed,,,,,TRUE,
2d49d2b9-3558-5e5f-a63d-0aa7e5f06c2b,TXN-000112,GEO-BG-30002,Deployed,Deployed,,,,,TRUE,
11e98133-1a9e-543c-92cf-406b2a84fe34,TXN-000113,DL-BE-30002,CheckedOut,Available,,,,,TRUE,
13fcc3ba-1e00-5acc-97b3-253fed5d1e73,TXN-000114,DL-BE-30006,CheckedOut,Available,,,,Good,TRUE,
4e117f22-6bb5-57e9-ac01-c0671439c98f,TXN-000114,GEO-BG-30004,CheckedOut,Available,,,,Good,TRUE,
fae86bc6-2782-547c-af36-86331e104457,TXN-000115,DL-BE-30001,Available,InCalibration,,,,,TRUE,
123bd37f-be3f-5cd9-959b-855046a3b61c,TXN-000115,DL-BE-30002,Available,InCalibration,,,,,TRUE,
437a0b51-1bfd-5ffd-8304-c861f8f5434e,TXN-000116,DL-BE-30009,Deployed,CheckedOut,,,,Good,TRUE,
e0754051-7d1c-5057-85f1-41b85cbd6833,TXN-000117,GEO-BG-30000,InCalibration,Available,,,,,TRUE,
6307c8b8-1cc0-50e8-9d39-ac9d98d3aa70,TXN-000118,DL-BE-30009,CheckedOut,Available,,,,Good,TRUE,
5a0e1367-adf4-5ba9-acf4-6e8017ca538a,TXN-000119,DL-BE-30006,Available,CheckedOut,,,,,TRUE,
2d6b8c4d-cda1-527e-a9a5-dd49c5b5113b,TXN-000119,GEO-BG-30004,Available,CheckedOut,,,,,TRUE,
08f84070-ffd6-5fdc-8e30-7cdff34eb8c3,TXN-000120,DL-BE-30006,CheckedOut,Deployed,Primary,,Battery,,TRUE,
7ab72621-7303-5aac-ba46-358c1c2b7988,TXN-000120,GEO-BG-30004,CheckedOut,Deployed,Sensor1,E,Battery,,TRUE,
f0cedd59-4727-5a6b-b0ce-e14e21327df2,TXN-000121,DL-BE-30005,Available,InCalibration,,,,,TRUE,
55ab548c-5e4d-5f3d-b672-43ef00ca1ce9,TXN-000122,DL-BE-30003,Deployed,CheckedOut,,,,Good,TRUE,
e70d5d54-6663-5576-b5cc-e1c97f987e00,TXN-000122,GEO-BG-30002,Deployed,CheckedOut,,,,Good,TRUE,
c5875c1b-3066-5668-821a-d1d89117838a,TXN-000123,DL-BE-30003,CheckedOut,Available,,,,Good,TRUE,
ad2f7a15-1433-5b80-aeaa-2511462b196a,TXN-000123,GEO-BG-30002,CheckedOut,Available,,,,Good,TRUE,
2a4d6354-0461-5788-80a6-9296187f629a,TXN-000124,DL-BE-30003,Available,InCalibration,,,,,TRUE,
e9a8916d-6242-544a-a9f1-01d1d7c5381a,TXN-000124,GEO-BG-30002,Available,InCalibration,,,,,TRUE,
17e48c94-c4b0-5b76-9860-2a4e47ba11ca,TXN-000125,GEO-BG-30001,Deployed,Deployed,,S,,,TRUE,
2ee7a7fa-e109-5721-99a1-75b0c3857345,TXN-000126,DL-BE-30001,InCalibration,Available,,,,,TRUE,
e0723540-9f5e-5571-aa1a-9adc0c6fe425,TXN-000127,DL-BE-30009,Available,CheckedOut,,,,,TRUE,
462b9617-2a46-5c94-b87c-ecc58f8525ae,TXN-000128,DL-BE-30009,CheckedOut,Deployed,Primary,,Battery,,TRUE,
2eb28782-c84e-5925-9f1f-23a28e4b6cd3,TXN-000129,DL-BE-30000,Deployed,Deployed,,,,,TRUE,
ff59e058-3982-5172-bfdb-ebd9d93c5da1,TXN-000129,DL-BE-30003,InCalibration,InCalibration,,,,,TRUE,
050fc5e6-d77a-5285-b1a1-eb06cb4b2444,TXN-000129,GEO-BG-30001,Deployed,Deployed,,,,,TRUE,
4c474e0b-d0d4-593a-9b92-13711dd02168,TXN-000129,TMP-5001,Deployed,Deployed,,,,,TRUE,
358a4689-550a-5fae-836e-cdbc13563785,TXN-000129,DL-BE-30005,InCalibration,InCalibration,,,,,TRUE,
6a3f4962-38de-5c7f-9f1b-e920b4df7c2a,TXN-000129,GEO-BG-30002,InCalibration,InCalibration,,,,,TRUE,
46115a48-655c-5d9c-a95a-cb41ec41e29d,TXN-000129,DST-5002,Available,Available,,,,,TRUE,
3d2d40fe-25fb-5c33-b199-75759e123517,TXN-000130,TLT-850000,Available,Available,,,,,TRUE,
43b67c6f-2a2d-57b2-975d-798954d0efb7,TXN-000131,DL-BE-30005,InCalibration,Available,,,,,TRUE,
689c6c68-7241-58c4-ab3f-16f91d09cd27,TXN-000132,DL-BE-30006,Deployed,CheckedOut,,,,Good,TRUE,
e9fcf9e8-7b5e-5b89-82ba-4bf7ff854e00,TXN-000132,GEO-BG-30004,Deployed,CheckedOut,,,,Good,TRUE,
07749a2d-964c-51bf-af77-bb2da59a245c,TXN-000133,DL-BE-30002,InCalibration,Available,,,,,TRUE,
79048f01-2554-5005-a59a-2fee3c7e64c9,TXN-000134,DL-BE-30006,CheckedOut,Available,,,,NeedsService,TRUE,
534b1240-c5ef-5abc-b2c8-f2a7afa24831,TXN-000134,GEO-BG-30004,CheckedOut,Available,,,,Good,TRUE,
7c1becca-5862-5d72-b5ce-f51c8dc97b4a,TXN-000135,DL-BE-30006,Available,NeedsRepair,,,,,TRUE,
6f42536d-49a8-5752-abcc-0b8f5ce3756e,TXN-000136,DL-BE-30001,Available,Deployed,Primary,,Battery,,TRUE,
973e2a38-3617-562a-95b4-4732a9f9aeb5,TXN-000136,GEO-BG-30000,Available,Deployed,Sensor1,E,Battery,,TRUE,
ebee3601-457f-50a5-a354-2993c5e6102b,TXN-000137,DL-BE-30003,InCalibration,Available,,,,,TRUE,
a4df14d1-9813-5a6a-a2f2-921a4e8bafac,TXN-000138,GEO-BG-30002,InCalibration,Available,,,,,TRUE,
5fa528aa-a86b-5000-9bed-3a855516a8ae,TXN-000139,DL-BE-30006,NeedsRepair,Available,,,,,TRUE,
abd08ccd-490d-50d9-93eb-19c471ea6d05,TXN-000140,DL-BE-30000,Deployed,CheckedOut,,,,Good,TRUE,
b49c4584-9ada-5671-8be7-31c7d4cd85ca,TXN-000140,GEO-BG-30001,Deployed,CheckedOut,,,,Good,TRUE,
8e9728b1-f1a5-59d7-a161-8eb46953539a,TXN-000141,DL-BE-30006,Available,Deployed,Primary,,Battery,,TRUE,
81a72d28-ddf2-5ee7-91d8-a4f6c9dd9b95,TXN-000141,GEO-BG-30004,Available,Deployed,Sensor1,V,Battery,,TRUE,
fa6ad3d5-2600-5f3f-aacd-d998554c83ad,TXN-000142,DL-BE-30002,Available,Deployed,Primary,,External,,TRUE,
b8ee2db1-044f-54ab-953a-1ca389eb230c,TXN-000142,GEO-BG-30003,Available,Deployed,Sensor1,W,External,,TRUE,
5cf8c65e-b175-55b3-8784-aba8c49aff94,TXN-000143,DL-BE-30009,Deployed,CheckedOut,,,,Good,TRUE,
462fa6bd-90d3-5ecf-a006-d30a50cbbf44,TXN-000144,DL-BE-30009,CheckedOut,Available,,,,Good,TRUE,
fcd680b0-e561-59ac-8b76-cf303c2a1a63,TXN-000145,DL-BE-30000,CheckedOut,Deployed,Primary,,Battery,,TRUE,
adb8213e-2b4e-558f-b4cb-240a191fb926,TXN-000145,GEO-BG-30001,CheckedOut,Deployed,Sensor1,W,Battery,,TRUE,
971c2cb0-b39a-5bd7-b741-c84912393d08,TXN-000146,DL-BE-30001,Deployed,Deployed,,,,,TRUE,
b76fb37d-17b2-53a7-a31c-9051371af521,TXN-000146,DL-BE-30002,Deployed,Deployed,,,,,TRUE,
e1f9db9b-034d-5a55-93ca-2db8d5eeee81,TXN-000146,DL-BE-30007,Deployed,Deployed,,,,,TRUE,
43fc7a7f-1c8b-5472-8d75-f70e6b9d310c,TXN-000146,DST-5001,Available,Available,,,,,TRUE,
6fe815d7-1da5-5ee8-ae5f-03706b264ff4,TXN-000146,DL-BE-30009,Available,Available,,,,,TRUE,
d22e45b6-f9a1-54cd-9849-488c92c45e53,TXN-000146,GEO-BG-30003,Deployed,Deployed,,,,,TRUE,
d81f56bf-375b-5192-bd36-1b2908181143,TXN-000146,GEO-BG-30005,Deployed,Deployed,,,,,TRUE,
4660aa5e-6c19-59a7-b2ee-36b25f565c84,TXN-000146,TLT-850000,Available,Available,,,,,TRUE,
764285e4-a00b-5b67-b869-6a9d0bf62fd0,TXN-000147,DL-BE-30002,Deployed,CheckedOut,,,,Good,TRUE,
7eb8f93e-7af0-5eba-a0bf-2820e9d78ec2,TXN-000147,GEO-BG-30003,Deployed,CheckedOut,,,,Good,TRUE,
121788d8-3d48-524d-9306-06ce2a2e954a,TXN-000148,DL-BE-30002,CheckedOut,Available,,,,Good,TRUE,
8f813b8b-f6a9-5c38-b45d-e2b8ca78c6f8,TXN-000148,GEO-BG-30003,CheckedOut,Available,,,,Good,TRUE,
7de08220-b3e2-5f5d-96ca-fdcfd9fdc798,TXN-000149,DL-BE-30003,Available,CheckedOut,,,,,TRUE,
60a61710-16cb-5eef-ac83-542d62bea2ab,TXN-000149,GEO-BG-30002,Available,CheckedOut,,,,,TRUE,
b1e29d98-0362-5b1d-80d2-666f36cf2105,TXN-000150,DL-BE-30003,CheckedOut,Deployed,Primary,,Battery,,TRUE,
