LocationName,LocationType,ParentLocationName,IsActive,Latitude,Longitude
1641 Stonebridge Court,Site,,TRUE,45.46532,-74.91848
4601 Frood Extension Road,Site,,TRUE,46.71292,-80.30736
4158 Long Lake Ridge,Site,,TRUE,46.40896,-80.62235
4254 Lakeshore Viaduct Road,Site,,TRUE,43.58501,-79.52205
3414 Harrow Gate Drive,Site,,TRUE,45.30545,-75.60938
1015 Wexford Drive,Site,,TRUE,43.93818,-80.15115
945 Queensway Ridge,Site,,TRUE,43.86573,-79.36478
1884 Oxford Mill Lane,Site,,TRUE,42.80278,-81.44073
951 Tamarack Line,Site,,TRUE,45.34086,-75.93976
1189 Fenwick Street,Site,,TRUE,45.26329,-75.88863
873 Tamarack Line,Site,,TRUE,45.40685,-75.50458
3068 Queensway Ridge,Site,,TRUE,43.93788,-78.80579
1902 Willowdale Crescent,Site,,TRUE,43.53795,-78.76346
4125 Oxford Mill Lane,Site,,TRUE,43.45563,-80.81573
Carleton Ridge Pump Station,Site,,TRUE,45.44536,-75.87004
1845 Willowdale Crescent,Site,,TRUE,43.46957,-79.5232
3931 Grand River Line,Site,,TRUE,43.1434,-80.81883
4424 Frood Extension Road,Site,,TRUE,46.52028,-81.37496
1810 Oxford Mill Lane,Site,,TRUE,42.72535,-80.71174
3583 Queensway Ridge,Site,,TRUE,43.92627,-79.5863
4186 Kettle Creek Road,Site,,TRUE,45.29522,-76.12917
1771 Eastgate Boulevard,Site,,TRUE,43.75217,-79.12185
1791 Lily Creek Drive,Site,,TRUE,46.22955,-80.37521
815 Birchmount Terrace,Site,,TRUE,44.01394,-79.81588
47 Tailings Access Road,Site,,TRUE,46.69421,-80.84828
907 Willowdale Crescent,Site,,TRUE,43.54772,-79.73444
546 Harrow Gate Drive,Site,,TRUE,45.52001,-75.344
1837 Long Lake Ridge,Site,,TRUE,46.54632,-80.68422
1898 Old Quarry Road,Site,,TRUE,45.37749,-75.88555
3528 Portlands Way,Site,,TRUE,43.85619,-78.6291
1988 Lakeshore Viaduct Road,Site,,TRUE,43.9091,-79.14521
757 Lawrence Heights Road,Site,,TRUE,43.70972,-79.1998
2213 Fenwick Street,Site,,TRUE,46.0044,-75.24603
Highbury Grade Separation,Site,,TRUE,42.92956,-80.98977
3608 Ironwood Crescent,Site,,TRUE,45.71184,-75.75593
1582 Lawrence Heights Road,Site,,TRUE,43.20722,-78.98009
3407 Sheridan Mews,Site,,TRUE,43.55682,-79.12294
Nickel Belt Tailings Dam Crest,Site,,TRUE,46.5063,-80.40504
836 Lakeshore Viaduct Road,Site,,TRUE,43.42462,-79.44153
Long Lake Haul Road Cut,Site,,TRUE,46.14106,-81.19074
3222 Kelly Lake Line,Site,,TRUE,45.79532,-80.89176
3492 Thames Valley Road,Site,,TRUE,43.18007,-80.83204
715 Ironwood Crescent,Site,,TRUE,45.5116,-75.91085
4554 Frood Extension Road,Site,,TRUE,46.79034,-80.68043
2874 Grand River Line,Site,,TRUE,42.90732,-80.31804
2709 Fenwick Street,Site,,TRUE,45.62869,-75.41896
4014 Lakeshore Viaduct Road,Site,,TRUE,43.50237,-78.91555
4370 Long Lake Ridge,Site,,TRUE,46.98495,-80.64055
4460 Sheridan Mews,Site,,TRUE,43.52135,-79.78151
Thames Valley Trunk Sewer Shaft A,Site,,TRUE,43.28511,-81.17611
3567 Thames Valley Road,Site,,TRUE,43.14534,-80.9526
2846 Eastgate Boulevard,Site,,TRUE,43.41009,-79.66806
1996 Frood Extension Road,Site,,TRUE,46.78501,-81.09214
3978 Queensway Ridge,Site,,TRUE,43.36323,-79.01841
4134 Shaft Road,Site,,TRUE,46.61778,-80.64536
3240 Millrace Avenue,Site,,TRUE,45.46122,-76.29188
3452 Copperhead Road,Site,,TRUE,45.26566,-76.20161
1398 Stonebridge Court,Site,,TRUE,45.79358,-75.41529
1290 Larkspur Way,Site,,TRUE,45.82032,-75.43902
3103 Eastgate Boulevard,Site,,TRUE,43.70311,-79.36244
4429 Pinery Road,Site,,TRUE,42.80669,-81.15358
3123 Kettle Creek Road,Site,,TRUE,45.71049,-75.85166
271 Ironwood Crescent,Site,,TRUE,45.65583,-75.39209
1726 Grand River Line,Site,,TRUE,42.44473,-81.1388
4720 Highbury Crossing,Site,,TRUE,43.64313,-80.96119
1837 Queensway Ridge,Site,,TRUE,43.65744,-79.41818
4584 Wellington Bypass,Site,,TRUE,43.43973,-81.29806
4879 Nickel Belt Road,Site,,TRUE,46.54311,-81.27387
23 Copperhead Road,Site,,TRUE,45.04536,-75.82037
2141 Copperhead Road,Site,,TRUE,45.34944,-75.3139
1039 Danforth Ridge Road,Site,,TRUE,43.42521,-80.05798
3104 Lawrence Heights Road,Site,,TRUE,43.45101,-79.50145
4209 Portlands Way,Site,,TRUE,43.38086,-79.07739
4869 Grand River Line,Site,,TRUE,42.50337,-80.37125
2424 Queensway Ridge,Site,,TRUE,43.73803,-79.26712
3833 Highbury Crossing,Site,,TRUE,42.9708,-80.68081
2679 Tailings Access Road,Site,,TRUE,46.77396,-81.37234
2858 Grand River Line,Site,,TRUE,42.94504,-80.94237
2224 Frood Extension Road,Site,,TRUE,46.3744,-80.79136
1397 Larkspur Way,Site,,TRUE,45.5139,-75.78044
486 Humberline Court,Site,,TRUE,43.82274,-79.23402
1815 Shaft Road,Site,,TRUE,46.64777,-80.39847
Lily Creek Culvert Replacement,Site,,TRUE,46.69998,-81.01294
3701 Frood Extension Road,Site,,TRUE,46.58857,-81.00156
216 Lily Creek Drive,Site,,TRUE,46.52969,-81.12371
1231 Stonebridge Court,Site,,TRUE,45.83819,-75.30822
1382 Wellington Bypass,Site,,TRUE,42.96635,-80.78784
1461 Portlands Way,Site,,TRUE,43.78857,-79.42596
2992 Oxford Mill Lane,Site,,TRUE,42.85191,-80.97967
2816 Humberline Court,Site,,TRUE,43.1415,-79.47682
1016 Larkspur Way,Site,,TRUE,45.39939,-75.14655
3727 Ironwood Crescent,Site,,TRUE,45.41725,-75.912
903 Stonebridge Court,Site,,TRUE,45.58171,-75.6756
3548 Eastgate Boulevard,Site,,TRUE,43.74436,-79.61523
2058 Thames Valley Road,Site,,TRUE,43.56547,-81.19978
2832 Humberline Court,Site,,TRUE,44.06428,-78.9617
235 Fanshawe Ridge,Site,,TRUE,43.21902,-81.26361
1618 Kelly Lake Line,Site,,TRUE,46.25343,-81.03847
2452 Shaft Road,Site,,TRUE,46.79379,-80.33788
1468 Danforth Ridge Road,Site,,TRUE,43.34321,-79.6989
45 Willowdale Crescent,Site,,TRUE,43.72212,-79.56199
3926 Kelly Lake Line,Site,,TRUE,46.29321,-80.95649
3269 Grist Mill Lane,Site,,TRUE,45.44418,-75.86346
4712 Grist Mill Lane,Site,,TRUE,45.50814,-76.38191
4237 Oxford Mill Lane,Site,,TRUE,43.22434,-81.15267
1125 Harbourview Lane,Site,,TRUE,43.83915,-79.56627
748 Sheridan Mews,Site,,TRUE,43.92315,-79.58529
1187 Harbourview Lane,Site,,TRUE,43.68188,-79.48919
2967 Millrace Avenue,Site,,TRUE,45.45927,-75.50719
3544 Wellington Bypass,Site,,TRUE,43.14632,-81.22469
1524 Fanshawe Ridge,Site,,TRUE,43.42406,-79.98713
2683 Conestoga Parkway Extension,Site,,TRUE,42.96694,-81.23688
2562 Greyrock Mine Road,Site,,TRUE,47.19276,-80.16007
1572 Danforth Ridge Road,Site,,TRUE,43.46187,-80.15767
2491 Lakeshore Viaduct Road,Site,,TRUE,43.68777,-79.33725
3227 Harbourview Lane,Site,,TRUE,43.52215,-79.69535
4007 Conestoga Parkway Extension,Site,,TRUE,43.33505,-81.04854
3524 Thames Valley Road,Site,,TRUE,42.59191,-81.30818
1849 Willowdale Crescent,Site,,TRUE,43.76721,-79.85604
4842 Ashgrove Terrace,Site,,TRUE,45.66801,-75.93485
293 Danforth Ridge Road,Site,,TRUE,43.887,-79.35052
2575 Queensway Ridge,Site,,TRUE,43.2436,-79.49823
2929 Tamarack Line,Site,,TRUE,45.60945,-75.29368
3526 Conestoga Parkway Extension,Site,,TRUE,43.28478,-80.75462
4110 Long Lake Ridge,Site,,TRUE,46.73298,-81.04808
469 Wexford Drive,Site,,TRUE,43.54459,-79.35622
3292 Portlands Way,Site,,TRUE,43.83458,-78.95017
2584 Kelly Lake Line,Site,,TRUE,46.26633,-80.60667
2876 Fanshawe Ridge,Site,,TRUE,42.89658,-80.78203
2824 Lawrence Heights Road,Site,,TRUE,43.56212,-79.71441
4751 Lawrence Heights Road,Site,,TRUE,43.84709,-79.46784
2310 Wellington Bypass,Site,,TRUE,43.38851,-81.39344
1231 Danforth Ridge Road,Site,,TRUE,43.21487,-79.65818
1665 Harrow Gate Drive,Site,,TRUE,45.20355,-75.6589
1739 Frood Extension Road,Site,,TRUE,46.14661,-81.89648
3515 Thames Valley Road,Site,,TRUE,42.7348,-80.68109
4417 Portlands Way,Site,,TRUE,43.37568,-79.25013
116 Conestoga Parkway Extension,Site,,TRUE,43.44786,-80.86288
1239 Portal Avenue,Site,,TRUE,47.04212,-81.34136
789 Sheridan Mews,Site,,TRUE,43.51117,-79.34754
3176 Sheridan Mews,Site,,TRUE,43.59655,-78.87116
1772 Queensway Ridge,Site,,TRUE,43.57814,-79.53305
1164 Greyrock Mine Road,Site,,TRUE,46.23351,-80.79387
4225 Humberline Court,Site,,TRUE,43.45265,-78.32759
485 Lily Creek Drive,Site,,TRUE,46.6122,-81.36706
60 Harrow Gate Drive,Site,,TRUE,45.54779,-75.68703
1433 Wexford Drive,Site,,TRUE,43.54425,-79.5503
2029 Portlands Way,Site,,TRUE,43.81213,-78.85515
154 Grist Mill Lane,Site,,TRUE,45.90516,-75.90169
2729 Grand River Line,Site,,TRUE,43.10978,-80.70873
1722 Tailings Access Road,Site,,TRUE,46.57461,-80.84262
2360 Kettle Creek Road,Site,,TRUE,45.9592,-75.73791
2595 Birchmount Terrace,Site,,TRUE,43.75387,-79.6895
3924 Portlands Way,Site,,TRUE,43.76145,-80.11248
2435 Harrow Gate Drive,Site,,TRUE,45.36813,-76.08398
241 Bellamy Ridge Road,Site,,TRUE,45.37648,-75.46934
3079 Fanshawe Ridge,Site,,TRUE,42.69547,-81.56103
2943 Stonebridge Court,Site,,TRUE,45.56578,-75.39326
1701 Highbury Crossing,Site,,TRUE,43.62587,-80.45609
3209 Sheridan Mews,Site,,TRUE,43.84158,-79.71836
3326 Thames Valley Road,Site,,TRUE,42.93089,-80.72401
4457 Willowdale Crescent,Site,,TRUE,43.06562,-79.60122
1054 Grand River Line,Site,,TRUE,43.22577,-80.78171
3312 Danforth Ridge Road,Site,,TRUE,44.1988,-79.45362
3880 Wexford Drive,Site,,TRUE,43.66083,-79.27006
2413 Lawrence Heights Road,Site,,TRUE,43.47283,-79.1252
1376 Kelly Lake Line,Site,,TRUE,46.49142,-81.02738
4635 Danforth Ridge Road,Site,,TRUE,43.75501,-79.15136
2135 Fenwick Street,Site,,TRUE,45.60704,-75.59351
3814 Lily Creek Drive,Site,,TRUE,47.10156,-80.37501
753 Old Quarry Road,Site,,TRUE,45.35872,-75.22149
1766 Lakeshore Viaduct Road,Site,,TRUE,43.2615,-80.08882
4511 Ironwood Crescent,Site,,TRUE,45.42998,-75.40157
555 Kelly Lake Line,Site,,TRUE,46.34743,-81.09558
3939 Long Lake Ridge,Site,,TRUE,46.0627,-81.36187
44 Boreal Pit Road,Site,,TRUE,46.61103,-80.7663
198 Pinery Road,Site,,TRUE,43.10475,-81.17645
2851 Thames Valley Road,Site,,TRUE,43.52757,-80.14685
3690 Kettle Creek Road,Site,,TRUE,45.67924,-75.40226
4848 Highbury Crossing,Site,,TRUE,43.16875,-80.87124
3525 Birchmount Terrace,Site,,TRUE,43.35156,-79.55172
2996 Stonebridge Court,Site,,TRUE,45.09725,-75.84599
2924 Birchmount Terrace,Site,,TRUE,43.63941,-79.38026
2401 Portlands Way,Site,,TRUE,43.7758,-79.44682
4691 Ashgrove Terrace,Site,,TRUE,45.17641,-75.22551
4365 Danforth Ridge Road,Site,,TRUE,43.43287,-79.43207
3398 Eastgate Boulevard,Site,,TRUE,43.29242,-78.55194
1743 Danforth Ridge Road,Site,,TRUE,43.65501,-79.39622
4664 Eastgate Boulevard,Site,,TRUE,43.53453,-79.48189
2366 Lakeshore Viaduct Road,Site,,TRUE,43.34932,-79.26008
4104 Grand River Line,Site,,TRUE,43.10876,-81.5364
196 Grand River Line,Site,,TRUE,43.01845,-80.95109
233 Wexford Drive,Site,,TRUE,43.45479,-79.39082
3103 Humberline Court,Site,,TRUE,43.8796,-79.76741
2871 Tamarack Line,Site,,TRUE,45.30619,-75.34621
3864 Boreal Pit Road,Site,,TRUE,46.29796,-81.01107
4582 Silverbirch Parkway,Site,,TRUE,45.27754,-75.62591
2485 Grand River Line,Site,,TRUE,43.0057,-81.07465
4736 Larkspur Way,Site,,TRUE,45.172,-76.30035
160 Nickel Belt Road,Site,,TRUE,46.21516,-80.96296
4688 Birchmount Terrace,Site,,TRUE,43.50942,-79.13976
4596 Harbourview Lane,Site,,TRUE,43.45335,-79.68895
4517 Fanshawe Ridge,Site,,TRUE,43.05822,-81.3389
3110 Ironwood Crescent,Site,,TRUE,45.7847,-75.49815
712 Willowdale Crescent,Site,,TRUE,43.57335,-79.09297
4435 Harrow Gate Drive,Site,,TRUE,45.55619,-75.84615
1231 Lakeshore Viaduct Road,Site,,TRUE,43.61014,-79.47964
2033 Humberline Court,Site,,TRUE,43.27818,-79.23795
4422 Portal Avenue,Site,,TRUE,46.34047,-80.87434
2446 Birchmount Terrace,Site,,TRUE,43.43268,-79.73652
3697 Kettle Creek Road,Site,,TRUE,44.74603,-76.01188
1384 Danforth Ridge Road,Site,,TRUE,43.93874,-79.57516
4880 Nickel Belt Road,Site,,TRUE,46.37872,-80.328
2295 Ironwood Crescent,Site,,TRUE,45.4502,-76.16887
658 Stonebridge Court,Site,,TRUE,45.36908,-75.75039
172 Birchmount Terrace,Site,,TRUE,43.39269,-78.94527
3454 Lily Creek Drive,Site,,TRUE,47.05637,-80.96741
2529 Pinery Road,Site,,TRUE,43.47009,-80.02845
4475 Grand River Line,Site,,TRUE,43.16322,-80.74653
172 Bellamy Ridge Road,Site,,TRUE,45.56484,-75.5889
3068 Humberline Court,Site,,TRUE,43.74308,-79.10059
2036 Bellamy Ridge Road,Site,,TRUE,45.50842,-75.72935
2566 Greyrock Mine Road,Site,,TRUE,46.31734,-81.16416
4643 Oxford Mill Lane,Site,,TRUE,43.24016,-80.92573
55 Danforth Ridge Road,Site,,TRUE,43.83871,-79.10923
3895 Bluewater Road,Site,,TRUE,43.05638,-80.6601
4863 Kelly Lake Line,Site,,TRUE,47.04949,-80.81759
3183 Danforth Ridge Road,Site,,TRUE,43.36071,-79.20728
4242 Thames Valley Road,Site,,TRUE,43.02675,-81.61343
4516 Pinery Road,Site,,TRUE,43.24249,-81.55126
2468 Silverbirch Parkway,Site,,TRUE,45.19924,-76.29376
1696 Thames Valley Road,Site,,TRUE,43.49566,-80.88793
485 Millrace Avenue,Site,,TRUE,45.37676,-75.61762
4061 Bellamy Ridge Road,Site,,TRUE,45.3514,-75.89695
2770 Greyrock Mine Road,Site,,TRUE,46.23953,-80.87764
1563 Larkspur Way,Site,,TRUE,45.37407,-75.39162
2389 Ironwood Crescent,Site,,TRUE,45.38495,-75.61075
2847 Silverbirch Parkway,Site,,TRUE,44.91571,-74.99003
1789 Fanshawe Ridge,Site,,TRUE,43.32243,-80.9489
1680 Grand River Line,Site,,TRUE,43.25186,-81.28519
3063 Wellington Bypass,Site,,TRUE,42.95437,-81.30922
3870 Oxford Mill Lane,Site,,TRUE,43.04078,-80.99841
3425 Willowdale Crescent,Site,,TRUE,43.53888,-79.42742
4569 Fanshawe Ridge,Site,,TRUE,42.82695,-81.03642
3354 Grist Mill Lane,Site,,TRUE,45.57194,-75.43871
3591 Sheridan Mews,Site,,TRUE,43.95241,-79.04311
1958 Pinery Road,Site,,TRUE,43.08524,-80.15697
882 Highbury Crossing,Site,,TRUE,42.99548,-81.22245
3160 Bluewater Road,Site,,TRUE,43.77527,-80.66328
2569 Nickel Belt Road,Site,,TRUE,46.68369,-81.53224
3734 Lakeshore Viaduct Road,Site,,TRUE,43.57397,-79.17398
2807 Stonebridge Court,Site,,TRUE,45.25237,-76.03261
143 Eastgate Boulevard,Site,,TRUE,43.12599,-79.48754
4858 Lakeshore Viaduct Road,Site,,TRUE,43.64032,-79.82914
2302 Kettle Creek Road,Site,,TRUE,45.32156,-75.1865
3565 Boreal Pit Road,Site,,TRUE,46.42464,-81.21662
4380 Wexford Drive,Site,,TRUE,43.45231,-79.204
3634 Greyrock Mine Road,Site,,TRUE,46.27668,-81.04301
3204 Erie Shore Drive,Site,,TRUE,43.51209,-80.92947
4093 Erie Shore Drive,Site,,TRUE,43.14548,-80.93004
1591 Willowdale Crescent,Site,,TRUE,43.472,-79.43731
333 Fenwick Street,Site,,TRUE,45.63331,-75.77363
2028 Millrace Avenue,Site,,TRUE,45.7011,-75.50875
995 Sheridan Mews,Site,,TRUE,43.29334,-79.47368
4369 Erie Shore Drive,Site,,TRUE,43.03503,-81.07209
3323 Conestoga Parkway Extension,Site,,TRUE,42.53345,-80.80892
3710 Lakeshore Viaduct Road,Site,,TRUE,43.42056,-79.47795
2640 Eastgate Boulevard,Site,,TRUE,43.49003,-79.26915
4854 Erie Shore Drive,Site,,TRUE,42.95018,-80.43808
1996 Old Quarry Road,Site,,TRUE,45.48973,-75.90165
1614 Silverbirch Parkway,Site,,TRUE,45.18195,-75.12599
3665 Grand River Line,Site,,TRUE,42.79396,-80.84082
400 Humberline Court,Site,,TRUE,43.80704,-80.18975
2980 Grist Mill Lane,Site,,TRUE,45.76256,-75.85687
3075 Highbury Crossing,Site,,TRUE,43.25155,-81.46387
4337 Thames Valley Road,Site,,TRUE,42.80625,-81.09667
684 Larkspur Way,Site,,TRUE,45.79515,-75.99754
3404 Erie Shore Drive,Site,,TRUE,43.21082,-81.64053
3849 Old Quarry Road,Site,,TRUE,45.36463,-75.18583
2749 Wellington Bypass,Site,,TRUE,42.72411,-81.12721
1995 Stonebridge Court,Site,,TRUE,45.16501,-75.93536
550 Thames Valley Road,Site,,TRUE,43.23204,-80.48243
2804 Frood Extension Road,Site,,TRUE,45.86498,-81.07923
4208 Ashgrove Terrace,Site,,TRUE,45.14603,-75.59786
2081 Harrow Gate Drive,Site,,TRUE,44.89306,-75.58674
4797 Conestoga Parkway Extension,Site,,TRUE,42.8192,-80.59929
2919 Millrace Avenue,Site,,TRUE,45.26774,-74.94345
1216 Silverbirch Parkway,Site,,TRUE,45.27485,-75.18086
1714 Fenwick Street,Site,,TRUE,45.32365,-75.79299
4635 Sheridan Mews,Site,,TRUE,43.62272,-79.92119
217 Sheridan Mews,Site,,TRUE,43.63609,-79.31176
4240 Stonebridge Court,Site,,TRUE,45.403,-75.23442
4473 Harrow Gate Drive,Site,,TRUE,45.00076,-75.73011
612 Queensway Ridge,Site,,TRUE,43.72933,-80.39144
2661 Grist Mill Lane,Site,,TRUE,45.09897,-75.30846
3739 Willowdale Crescent,Site,,TRUE,43.77931,-78.83185
3920 Lawrence Heights Road,Site,,TRUE,43.4098,-80.08122
1708 Portal Avenue,Site,,TRUE,46.11544,-80.42834
1431 Millrace Avenue,Site,,TRUE,45.25936,-75.68187
2175 Bluewater Road,Site,,TRUE,43.02075,-81.19089
21 Wellington Bypass,Site,,TRUE,43.20387,-81.25093
1667 Nickel Belt Road,Site,,TRUE,46.30001,-81.32774
